化學物名稱,中文名稱,風險等級,PubChem CID,CAS No.,危害組別,危害名稱,危害等級,資料來源,可信度,危害分類是否清楚,適用地區,適用產業,是否具強制性？,清單連結,註解,額外註解,預測值,Summary,Generated_Text
Benzene,,1,241,71-43-2,慢毒性危害,致癌性,高,歐洲化學總署公告REACH法規附件17,相對高,危害等級分類清楚。,歐盟,C大類「製造業」,Y,"""Access the full list of REACH Annex XVII chemicals using the first link below (Export search results function is at the bottom of the page). GreenScreen List Translator only includes C, M, and R substances from Entries 28, 29, and 30.
The C, M, and R CASRN’s referred to in Entries 28, 29 and 30 are listed in Appendices 1-6 of REACH Regulation EC (No) 1907/2006, which is updated semi-regularly through amendments (Second link below).""
https://echa.europa.eu/substances-restricted-under-reach 
https://echa.europa.eu/regulations/reach/legislation 
https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:02006R1907-20220108&%20from=EN:#page=279 ",分類第一級或二級,,,," Benzene,
CAS 編號為 71-43-2，風險等級為 1，PubChem CID 為 241。
此物賦屬於慢性有害品質，主要危害為致癌性，危害等級為高。根據歐洲化學總署公告的 REACH 法規附件 17，可信度相對較高，且危害等級分類明確。此危害適用於歐盟地區，主要影響製造業（C 類）。

根據 REACH 法規，本物質已列入限制物質清單，相關法規在歐盟地區具有強制性要求。您可以通過以下連結查閱限制物質清單、REACH 法規及歐盟法律文本：
<https://echa.europa.eu/substances-restricted-under-reach>
<https://echa.europa.eu/regulations/reach/legislation>
<https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:02006R1907-20220108&from=EN:%23page=279>

此外，根據 GreenScreen List Translator 的資訊，本物質屬於 REACH 法規中的附錄 17 第 28、29、30 項所列出的物質。這些物質被分為 C（致癌性）、M（致突變性）和 R（生殖毒性）三類，並於 REACH 法規 EC (No) 1907/2006 的附錄 1-6 中列出。這些附錄會定期通過修正案更新。

Benzene,
CAS 編號為 71-43-2，風險等級為 1，PubChem CID 為 241。
此物賦屬於慢性有害品質，主要危害為致癌性，危害等級為高。根據歐洲化學總署公告的 IARC 分類清單，本物質被分為第 1 類（已知人類致癌物）或第 2A 類（極可能為人體致癌物）。相關清單不具強制性。您可以通過以下連結查閱 IARC 分類清單，其中會列出相關 IARC 專題研究的卷冊或補充資料，物質可按 CAS 編號、名稱或作為物質群體列出：
<https://monographs.iarc.fr/agents-classified-by-the-iarc/>

GreenScreen List Translator 只包括 REACH 法規中 Entries 28, 29 和 30 所提到的 C、M 和 R 物質。歐盟對這些 CASRN 的引用可在 REACH 法規 EC (No) 1907/2006 的附錄 1-6 中找到，這些附錄會定期通過修正案更新。"
Benzene,,1,241,71-43-2,慢毒性危害,致癌性,高,歐盟GHS,相對高,危害等級分類清楚。,歐盟,C大類「製造業」,Y,"ECHA provides an updated excel list of all harmonized classifications. Access the full list of CASRNs with associated harmonized GHS classifications using the first link below (Export search results function is at the bottom of the page).
https://echa.europa.eu/information-on-chemicals/cl-inventory-database
https://echa.europa.eu/information-on-chemicals/annex-vi-to-clp",致癌性危害第1A或1B級：H350或H350i (吸入性),,,," Benzene, nan, 1, 241, 71-4"
Benzene,,1,241,71-43-2,慢毒性危害,致癌性,高,國際癌症研究機構清單,相對高,危害等級分類清楚。,全球,所有,N,"Lists provided at the link below reference the relevant IARC monograph volume or supplement. Substances may be listed by CAS number, name or collectively as a substance group.
http://monographs.iarc.fr/ENG/Classification/index.php",第1類：已知人類致癌物 或 第2a類：極可能為人體致癌物,,,," Benzene,
also known as CAS 71-4"
Benzene,,1,241,71-43-2,慢毒性危害,致癌性,高,美國環保署整合性風險資料系統,相對高,危害等級分類清楚。,美國,所有,N,"""US EPA Integrated Risk Information System home page (first link).
Advanced search by substance ID (second link).""
http://www.epa.gov/ncea/iris/search_human.htm 
https://iris.epa.gov/AdvancedSearch/ 
https://www.epa.gov/iris ",Group A or B1 or B2,,,," Benzene,
CAS 編號為 71-4"
Benzene,,1,241,71-43-2,慢毒性危害,致癌性,高,美國環保署整合性風險資料系統,相對高,危害等級分類清楚。,美國,所有,N,"""US EPA Integrated Risk Information System home page (first link).
Advanced search by substance ID (second link).""
http://www.epa.gov/ncea/iris/search_human.htm 
https://iris.epa.gov/AdvancedSearch/ 
https://www.epa.gov/iris ",已知或很可能有毒性,,,," Benzene,
CAS 編號為 71-4"
Benzene,,1,241,71-43-2,慢毒性危害,致癌性,高,美國衛生與公眾服務部-第十四次致癌物報告,相對高,危害等級分類清楚。,美國,所有,Y,"The Report on Carcinogens (RoC) is prepared by the National Toxicology Program (NTP) on behalf of the Secretary, Health and Human Services (description at the first link). The latest RoC edition is available at the second link.
http://ntp.niehs.nih.gov/pubhealth/roc/index.html
http://ntp.niehs.nih.gov/pubhealth/roc/roc12/index.html",合理預期的人類致癌物,,,," Benzene,
CAS 編號為 71-43-2，風險等級為 1，PubChem CID 為 241。
根據美國衛生與公眾服務部的第十四次致癌物報告，該物質屬於慢毒性危害，主要危害為致癌性，危害等級為高。
這份報告由國家毒理計程團隊（NTP）在名列健康和人力資源部下辦公，可信度相對較高，且危害等級分類清楚。
此危害適用於全球所有地區與產業。
根據 IARC 分類，苯被歸類為第 1 類（已知人類致癌物）或第 2A 類（極可能為人體致癌物）。
相關清單可通過以下連結查閱：IARC 分類清單，清單中會列出相關 IARC 專題研究的卷冊或補充資料，物質可按 CAS 編號、名稱或作為物質群體列出。
此清單不具強制性。

http://ntp.niehs.nih.gov/pubhealth/roc/index.html
http://ntp.niehs.nih.gov/pubhealth/roc/roc12/index.html

合理預期的人類致癌物。"
Benzene,,1,241,71-43-2,慢毒性危害,致癌性,高,美國疾病控制中心 - 職業致癌物清單,相對高,危害等級分類清楚。,美國,所有 (workplace safety),N,"NIOSH's carcinogen policy is described at the first link below. The current occupational carcinogen list is at the second link
http://www.cdc.gov/niosh/topics/cancer/policy.html
http://www.cdc.gov/niosh/topics/cancer/npotocca.html",職業性致癌物,,,," Benzene,
CAS 編號為 71-4"
Benzene,,1,241,71-43-2,慢毒性危害,致癌性,高,美國加州第65號提案,相對高,危害等級分類清楚。,加利福尼亞州 美國,所有,Y,"Prop 65 descriptive information is at the first link below. The second link provides the current list of substances.
http://oehha.ca.gov/proposition-65/about-proposition-65
http://oehha.ca.gov/proposition-65/proposition-65-list",Carcinogen – specific to chemical form or exposure route,,,," Benzene,
CAS 編號為 71-43-2，風險等級為 1，PubChem CID 為 241。
根據美國加州第65號提案，該物質屬於慢毒性危害，主要危害為致癌性，危害等級為高。
此資料來源的可信度相對較高，且危害等級分類清楚。
這個危害適用於加利福尼亞州、美國以及全球其他地區和產業。
根據 IARC 分類，苯被歸類為第 1 類（已知人類致癌物）或第 2A 類（極可能為人體致癌物）。
相關清單可通過以下連結查閱：IARC 分類清單，清單中會列出相關 IARC 專題研究的卷冊或補充資料，物質可按 CAS 編號、名稱或作為物質群體列出。
此清單不具強制性。
Prop 65 描述性資訊位於第一個連結 below。
當前的物品列表位於第二個連結 below。

http://oehha.ca.gov/proposition-65/about-proposition-65
http://oehha.ca.gov/proposition-65/proposition-65-list
Carcinogen – specific to chemical form or exposure route"
Benzene,,1,241,71-43-2,慢毒性危害,致癌性,高,德國最大工作場所濃度清單,相對高,包含多種危害終點，危害等級分類模糊。,德國,所有 (workplace safety),Y,"The German Research Foundation’s (DFG) Permanent Senate Commission for the Investigation of Health Hazards of Chemical Compounds in the Work Area (“MAK Commission”) is at the first link. MAK Commission classification categories are available via PDFs at Wiley (second link, updated annually):
http://www.dfg.de/en/dfg_profile/statutory_bodies/senate/health_hazards/index.html
http://onlinelibrary.wiley.com/book/10.1002/3527600418/homepage/access_to_the_list_of_mak_and_bat_values.htm",致癌物第一或二組,,,, 苯（Benzene），CAS 編號為 71-4
Benzene,,1,241,71-43-2,慢毒性危害,致癌性,高,加拿大工作場所有害物質訊息系統 2015 分類清單,相對低,危害等級分類清楚。,加拿大,所有,Y,"Description of the WHMIS is available at the first link below. The Quebec CSST site (second link) contains a list of controlled products, also available by CAS number and as a txt or PDF file.
http://www.hc-sc.gc.ca/ewh-semt/occup-travail/whmis-simdut/index-eng.php
http://www.csst.qc.ca/en/prevention/reptox/Pages/list-whmis-1988-cas-50-84.aspx",致癌性危害第1A或1B級：H350或H350i (吸入性),,,," Benzene,
CAS 編號為 71-4"
Benzene,,1,241,71-43-2,慢毒性危害,致癌性,高,澳洲GHS,相對低,危害等級分類清楚。,澳洲,所有,Y,"The Hazardous Chemical Information System (HCIS) is a database that allows you to find information on chemicals that have been classified in accordance with the GHS. Download the list using the link below.
http://hsis.safeworkaustralia.gov.au/GHSInformation/GHS_Hazardous_Chemical_Information_List",致癌性危害第1A或1B級：H350或H350i (吸入性),,,, 苯（Benzene），CAS 編號為 71-4
Benzene,,1,241,71-43-2,慢毒性危害,致癌性,高,日本GHS,相對低,危害等級分類清楚。,日本,所有,Y,"The NITE Chemical Risk Information Platform (NITE-CHRIP) database can be used to search for GHS Classifications for chemicals individually. To retrieve a full list of CASRNs, ""check all the boxes"" in the ""GHS Classification Results by the Japanese Government"" section, which is a subsection under ""Chemical Hazard and Risk Information"".
http://www.nite.go.jp/en/chem/chrip/chrip_search/srhInput",致癌性危害第1A或1B級：H350或H350i (吸入性),,,, 苯（Benzene），CAS 編號為 71-4
Benzene,,1,241,71-43-2,慢毒性危害,致癌性,高,南韓GHS,相對低,危害等級分類清楚。,韓國,所有,Y,"The Korean National Chemicals Information System (NCiS) can be used to search for GHS Classifications for chemicals. GreenScreen List Translator only includes chemicals in 5 broad search categories: Phase-in substances subject to registration, Toxic Substances, Restricted Substances, Prohibited Substances, and Substances requiring preparation for accidents. Search each category, as a chemical may be on one list and not another.
http://ncis.nier.go.kr/en/main.do",致癌性危害第1A或1B級：H350或H350i (吸入性),,,," Benzene,
CAS 編號為 71-4"
Benzene,,1,241,71-43-2,慢毒性危害,致癌性,高,馬來西亞GHS,相對低,危害等級分類清楚。,馬來西亞,C大類「製造業」、G大類「批發及零售業」,Y,"The Chemical Search database provided by the Malaysia Department of Environmental Safety and Health (DOSH) can be used to search for GHS Classifications for individual chemicals only.
http://cims.dosh.gov.my/",致癌性危害第1A或1B級：H350或H350i (吸入性),,,," Benzene,
CAS 編號為 71-4"
