化學物名稱,中文名稱,風險等級,PubChem CID,CAS No.,危害組別,危害名稱,危害等級,資料來源,可信度,危害分類是否清楚,適用地區,適用產業,是否具強制性？,清單連結,註解,額外註解,預測值,Summary,Generated_Text
"1,3-Butadiene",,1,7845,106-99-0,慢毒性危害,致癌性,高,歐洲化學總署公告REACH法規附件17,相對高,危害等級分類清楚。,歐盟,C大類「製造業」,Y,"""Access the full list of REACH Annex XVII chemicals using the first link below (Export search results function is at the bottom of the page). GreenScreen List Translator only includes C, M, and R substances from Entries 28, 29, and 30.
The C, M, and R CASRN’s referred to in Entries 28, 29 and 30 are listed in Appendices 1-6 of REACH Regulation EC (No) 1907/2006, which is updated semi-regularly through amendments (Second link below).""
https://echa.europa.eu/substances-restricted-under-reach 
https://echa.europa.eu/regulations/reach/legislation 
https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:02006R1907-20220108&%20from=EN:#page=279 ",分類第一級或二級,,,,"1,3-丁二烯（1,3-Butadiene），CAS 編號為 106-99-0，風險等級為 1，PubChem CID 為 7845。
該物質屬於慢毒性危害，主要的危害為致癌性，危害等級為高，根據歐洲化學總署公告的 REACH 法規附件 17，可信度相對較高，且危害等級分類明確。
此危害適用於歐盟地區，主要影響製造業（C 類）。
該物質在 REACH 法規中的附錄 17 中列出，該清單包含 C（致癌性）、M（致突變性）、R（生殖毒性）物質，且相關 CAS 編號記載於 REACH 法規 EC (No) 1907/2006 的附錄 1-6，並會隨著法規修訂進行更新。
該法規在歐盟地區具有強制性要求，相關清單可通過以下連結查閱：限制物質清單，REACH 法規，以及 歐盟法律文本。此物質的危害分類屬於第一級或第二級。"
"1,3-Butadiene",,1,7845,106-99-0,慢毒性危害,致癌性,高,歐盟GHS,相對高,危害等級分類清楚。,歐盟,C大類「製造業」,Y,"ECHA provides an updated excel list of all harmonized classifications. Access the full list of CASRNs with associated harmonized GHS classifications using the first link below (Export search results function is at the bottom of the page).
https://echa.europa.eu/information-on-chemicals/cl-inventory-database
https://echa.europa.eu/information-on-chemicals/annex-vi-to-clp",致癌性危害第1A或1B級：H350或H350i (吸入性),,,,"1,3-丁二烯（1,3-Butadiene），CAS 編號為 106-99-0，風險等級為 1，PubChem CID 為 7845。
此物質屬於慢毒性危害，主要危害為致癌性，危害等級為高。根據歐盟 GHS 的資料來源，可信度相對較高，且危害等級分類清楚。
該危害適用於歐盟地區，主要影響製造業（C 類）。此物質的危害等級被列為第 1A 或 1B 級的致癌性危害，並對應 H350 或 H350i（吸入性）。
相關的歐盟 GHS 調和分類的最新清單，可通過以下連結查閱：化學物質資訊資料庫，以及 CLP 法規附錄 VI。
這些清單會定期更新，並提供所有相關 CAS 編號與調和分類的 Excel 清單下載功能。"
"1,3-Butadiene",,1,7845,106-99-0,慢毒性危害,致癌性,高,國際癌症研究機構清單,相對高,危害等級分類清楚。,全球,所有,N,"Lists provided at the link below reference the relevant IARC monograph volume or supplement. Substances may be listed by CAS number, name or collectively as a substance group.
http://monographs.iarc.fr/ENG/Classification/index.php",第1類：已知人類致癌物 或 第2a類：極可能為人體致癌物,,,,"1,3-丁二烯（1,3-Butadiene），CAS 編號為 106-99-0，風險等級為 1，PubChem CID 為 7845。
該物質屬於慢毒性危害，主要的危害為致癌性，危害等級為高。根據國際癌症研究機構（IARC）清單，該資料來源的可信度相對較高，且危害等級分類清楚。
此物質的危害適用於全球所有地區與產業。
根據 IARC 分類，1,3-丁二烯被歸類為第 1 類（已知人類致癌物）或第 2A 類（極可能為人體致癌物）。相關清單可通過以下連結查閱：IARC 分類清單，清單中會列出相關 IARC 專題研究的卷冊或補充資料，物質可按 CAS 編號、名稱或作為物質群體列出。此清單不具強制性。"
"1,3-Butadiene",,1,7845,106-99-0,慢毒性危害,致癌性,高,美國環保署整合性風險資料系統,相對高,危害等級分類清楚。,美國,所有,N,"""US EPA Integrated Risk Information System home page (first link).
Advanced search by substance ID (second link).""
http://www.epa.gov/ncea/iris/search_human.htm 
https://iris.epa.gov/AdvancedSearch/ 
https://www.epa.gov/iris ",已知或很可能有毒性,,,,"1,3-丁二烯（1,3-Butadiene），CAS 編號為 106-99-0，風險等級為 1，PubChem CID 為 7845。
該物質屬於慢毒性危害，主要的危害為致癌性，危害等級為高。根據美國環保署整合性風險資料系統（IRIS）的資料來源，可信度相對較高，且危害等級分類清楚。
此危害適用於美國地區，主要影響所有產業。
該物質在美國環保署的 IRIS 系統中列出，該清單包含已知或很可能有毒性的物質，且相關 CAS 編號記載於 IRIS 系統中，並會隨著資料更新進行修訂。
該系統在美國地區不具強制性要求，相關清單可通過以下連結查閱：US EPA Integrated Risk Information System home page (first link)，Advanced search by substance ID (second link)，以及 US EPA IRIS。
此物質的危害分類屬於已知或很可能有毒性。"
"1,3-Butadiene",,1,7845,106-99-0,慢毒性危害,致癌性,高,美國衛生與公眾服務部-第十四次致癌物報告,相對高,危害等級分類清楚。,美國,所有,Y,"The Report on Carcinogens (RoC) is prepared by the National Toxicology Program (NTP) on behalf of the Secretary, Health and Human Services (description at the first link). The latest RoC edition is available at the second link.
http://ntp.niehs.nih.gov/pubhealth/roc/index.html
http://ntp.niehs.nih.gov/pubhealth/roc/roc12/index.html",合理預期的人類致癌物,,,,"1,3-丁二烯（1,3-Butadiene），CAS 編號為 106-99-0，風險等級為 1，PubChem CID 為 7845。
該物質屬於慢毒性危害，主要的危害為致癌性，危害等級為高。根據美國衛生與公眾服務部第十四次致癌物報告，該資料來源的可信度相對較高，且危害等級分類清楚。
此危害適用於美國地區，並影響所有產業。
根據美國衛生與公眾服務部的報告，1,3-丁二烯被合理預期為人類致癌物。相關清單可通過以下連結查閱：The Report on Carcinogens (RoC) is prepared by the National Toxicology Program (NTP) on behalf of the Secretary, Health and Human Services (description at the first link). The latest RoC edition is available at the second link.
http://ntp.niehs.nih.gov/pubhealth/roc/index.html
http://ntp.niehs.nih.gov/pubhealth/roc/roc12/index.html
此清單在美國地區具有強制性要求。"
"1,3-Butadiene",,1,7845,106-99-0,慢毒性危害,致癌性,高,美國疾病控制中心 - 職業致癌物清單,相對高,危害等級分類清楚。,美國,所有 (workplace safety),N,"NIOSH's carcinogen policy is described at the first link below. The current occupational carcinogen list is at the second link
http://www.cdc.gov/niosh/topics/cancer/policy.html
http://www.cdc.gov/niosh/topics/cancer/npotocca.html",職業性致癌物,,,,"1,3-丁二烯（1,3-Butadiene），CAS 編號為 106-99-0，風險等級為 1，PubChem CID 為 7845。
該物質屬於慢毒性危害，主要的危害為致癌性，危害等級為高。根據美國疾病控制中心（CDC）職業致癌物清單，該資料來源的可信度相對較高，且危害等級分類清楚。
此危害適用於美國地區，主要影響所有產業的工作場所安全。
根據 CDC 的職業致癌物政策，1,3-丁二烯被列為職業性致癌物。相關清單可通過以下連結查閱：CDC 職業致癌物政策，以及當前的職業致癌物清單。
這些清單會定期更新，並提供所有相關 CAS 編號與分類的詳細資訊。此清單不具強制性要求。"
"1,3-Butadiene",,1,7845,106-99-0,慢毒性危害,致癌性,高,美國加州第65號提案,相對高,危害等級分類清楚。,加利福尼亞州 美國,所有,Y,"Prop 65 descriptive information is at the first link below. The second link provides the current list of substances.
http://oehha.ca.gov/proposition-65/about-proposition-65
http://oehha.ca.gov/proposition-65/proposition-65-list",致癌性,,,,"1,3-丁二烯（1,3-Butadiene），CAS 編號為 106-99-0，風險等級為 1，PubChem CID 為 7845。
該物質屬於慢毒性危害，主要的危害為致癌性，危害等級為高。根據美國加州第65號提案的資料來源，可信度相對較高，且危害等級分類清楚。
此危害適用於加利福尼亞州美國地區，主要影響所有產業。
該物質在美國加州第65號提案中列出，該清單包含致癌性物質，且相關 CAS 編號記載於提案中，並會隨著法規修訂進行更新。
該法規在加利福尼亞州具有強制性要求，相關清單可通過以下連結查閱：Prop 65 descriptive information is at the first link below. The second link provides the current list of substances，http://oehha.ca.gov/proposition-65/about-proposition-65，以及 http://oehha.ca.gov/proposition-65/proposition-65-list。此物質的危害分類屬於致癌性。

"
"1,3-Butadiene",,1,7845,106-99-0,慢毒性危害,致癌性,高,德國最大工作場所濃度清單,相對高,包含多種危害終點，危害等級分類模糊。,德國,所有 (workplace safety),Y,"The German Research Foundation’s (DFG) Permanent Senate Commission for the Investigation of Health Hazards of Chemical Compounds in the Work Area (“MAK Commission”) is at the first link. MAK Commission classification categories are available via PDFs at Wiley (second link, updated annually):
http://www.dfg.de/en/dfg_profile/statutory_bodies/senate/health_hazards/index.html
http://onlinelibrary.wiley.com/book/10.1002/3527600418/homepage/access_to_the_list_of_mak_and_bat_values.htm",致癌物第一或二組,,,,"1,3-丁二烯（1,3-Butadiene），CAS 編號為 106-99-0，風險等級為 1，PubChem CID 為 7845。

該物質屬於慢毒性危害，主要的危害為致癌性，危害等級為高。根據德國最大工作場所濃度清單的資料來源，可信度相對較高，但包含多種危害終點，危害等級分類模糊。

此危害適用於德國地區，主要影響所有工作場所安全相關的產業。

該物質在德國最大工作場所濃度清單中列出，該清單由德國研究基金會（DFG）常設參議會化學物質健康危害調查委員會（MAK Commission）負責，相關分類可通過以下連結查閱：MAK Commission 的分類類別可在 Wiley 的 PDF 文件中找到（每年更新）：[DFG Profile](http://www.dfg.de/en/dfg_profile/statutory_bodies/senate/health_hazards/index.html) 和 [Wiley Access](http://onlinelibrary.wiley.com/book/10.1002/3527600418/homepage/access_to_the_list_of_mak_and_bat_values.htm)。

該法規在德國地區具有強制性要求，相關清單可通過上述連結查閱。此物質的危害分類屬於致癌物第一或第二組。"
"1,3-Butadiene",,1,7845,106-99-0,慢毒性危害,致癌性,高,加拿大工作場所有害物質訊息系統 2015 分類清單,相對低,危害等級分類清楚。,加拿大,所有,Y,"Description of the WHMIS is available at the first link below. The Quebec CSST site (second link) contains a list of controlled products, also available by CAS number and as a txt or PDF file.
http://www.hc-sc.gc.ca/ewh-semt/occup-travail/whmis-simdut/index-eng.php
http://www.csst.qc.ca/en/prevention/reptox/Pages/list-whmis-1988-cas-50-84.aspx",致癌性危害第1A或1B級：H350或H350i (吸入性),,,,"1,3-丁二烯（1,3-Butadiene），CAS 編號為 106-99-0，風險等級為 1，PubChem CID 為 7845。
該物質屬於慢毒性危害，主要的危害為致癌性，危害等級為高。根據加拿大工作場所有害物質訊息系統（WHMIS）2015 分類清單，該資料來源的可信度相對較低，但危害等級分類清楚。
此危害適用於加拿大地區，並影響所有產業。
該物質在 WHMIS 系統中被列為第 1A 或 1B 級的致癌性危害，並對應 H350 或 H350i（吸入性）。
相關的 WHMIS 說明可通過以下連結查閱：WHMIS 說明，以及 Quebec CSST 網站，該網站包含受控產品清單，並可按 CAS 編號查詢，提供 txt 或 PDF 格式下載。
此法規在加拿大地區具有強制性要求，相關清單可通過以下連結查閱：WHMIS 說明，Quebec CSST 網站。"
"1,3-Butadiene",,1,7845,106-99-0,慢毒性危害,致癌性,高,澳洲GHS,相對低,危害等級分類清楚。,澳洲,所有,Y,"The Hazardous Chemical Information System (HCIS) is a database that allows you to find information on chemicals that have been classified in accordance with the GHS. Download the list using the link below.
http://hsis.safeworkaustralia.gov.au/GHSInformation/GHS_Hazardous_Chemical_Information_List",致癌性危害第1A或1B級：H350或H350i (吸入性),,,,"1,3-丁二烯（1,3-Butadiene），CAS 編號為 106-99-0，風險等級為 1，PubChem CID 為 7845。
該物質屬於慢毒性危害，主要的危害為致癌性，危害等級為高。根據澳洲 GHS 的資料來源，可信度相對較低，但危害等級分類清楚。
此危害適用於澳洲地區，並影響所有產業。
該物質在澳洲 GHS 中被列為第 1A 或 1B 級的致癌性危害，並對應 H350 或 H350i（吸入性）。
相關的澳洲 GHS 調和分類的最新清單，可通過以下連結查閱：The Hazardous Chemical Information System (HCIS) is a database that allows you to find information on chemicals that have been classified in accordance with the GHS. Download the list using the link below.
http://hsis.safeworkaustralia.gov.au/GHSInformation/GHS_Hazardous_Chemical_Information_List。
該法規在澳洲地區具有強制性要求。"
