化學物名稱,中文名稱,風險等級,PubChem CID,CAS No.,危害組別,危害名稱,危害等級,資料來源,可信度,危害分類是否清楚,適用地區,適用產業,是否具強制性？,清單連結,註解,額外註解,預測值
Acetonitrile,,1,6342,75-05-8,慢毒性危害,致癌性,低,QSAR Toolbox: QSAR,相對低,危害等級分類清楚。,,,,,translation missing: zh-TW.hazard_annotation.QSAR Toolbox: QSAR,低毒性,
Acetonitrile,,1,6342,75-05-8,慢毒性危害,致癌性,"",translation missing: zh-TW.list_name.US OSHA - TRI Carcinogens,相對低,危害等級分類清楚。,美國,所有,Y,https://www.epa.gov/system/files/documents/2023-01/Toxics%20Release%20Inventory%20Basis%20of%20OSHA%20Carcinogens.pdf,"","",Toxics Release Inventory (TRI) Program
Acetonitrile,,1,6342,75-05-8,慢毒性危害,致癌性,"",translation missing: zh-TW.list_name.Classification model: ToxTree,相對低,包含多種危害終點，危害等級分類模糊。,NA,所有,N,,"",輕度毒性,Negative for genotoxic carcinogenicity:YES; Negative for nongenotoxic carcinogenicity:YES; Potential S. typhimurium TA100 mutagen based on QSAR:NO; Potential carcinogen based on QSAR:NO
Acetonitrile,,1,6342,75-05-8,慢毒性危害,致突變性,中,PubChem資料庫 聯合國GHS,相對低,危害等級分類清楚。,,,,https://ftp.ncbi.nlm.nih.gov/pubchem/Compound/Extras/,translation missing: zh-TW.hazard_annotation.H341,"",
Acetonitrile,,1,6342,75-05-8,慢毒性危害,致突變性,高,QSAR模型 支持向量機 Polynomial核心,相對低,危害等級分類清楚。,,,,,translation missing: zh-TW.hazard_annotation.to_prec_che_wFG_mw1300_svm_poly.csv,高度/中度毒性,
Acetonitrile,,1,6342,75-05-8,慢毒性危害,致突變性,低,QSAR模型 支持向量機 RBF核心,相對低,危害等級分類清楚。,,,,,translation missing: zh-TW.hazard_annotation.to_prec_che_wFG_mw1300_svm_rbf.csv,輕度毒性,
Acetonitrile,,1,6342,75-05-8,慢毒性危害,致突變性,高,QSAR模型 決策樹 C5.0,相對低,危害等級分類清楚。,,,,,translation missing: zh-TW.hazard_annotation.to_prec_che_w_FG_mw1300_c5.csv,高度/中度毒性,
Acetonitrile,,1,6342,75-05-8,慢毒性危害,致突變性,高,QSAR模型 隨機森林,相對低,危害等級分類清楚。,,,,,translation missing: zh-TW.hazard_annotation.to_prec_che_w_FG_mw1300_rf.csv,高度/中度毒性,
Acetonitrile,,1,6342,75-05-8,慢毒性危害,發育毒性,中,德國最大工作場所濃度清單,相對高,包含多種危害終點，危害等級分類模糊。,德國,所有 (workplace safety),Y,"The German Research Foundation’s (DFG) Permanent Senate Commission for the Investigation of Health Hazards of Chemical Compounds in the Work Area (“MAK Commission”) is at the first link. MAK Commission classification categories are available via PDFs at Wiley (second link, updated annually):
http://www.dfg.de/en/dfg_profile/statutory_bodies/senate/health_hazards/index.html
http://onlinelibrary.wiley.com/book/10.1002/3527600418/homepage/access_to_the_list_of_mak_and_bat_values.htm",懷孕風險組C,"",
Acetonitrile,,1,6342,75-05-8,慢毒性危害,內分泌干擾,低,US EPA ToxCast,相對低,危害等級分類清楚。,,,,,translation missing: zh-TW.hazard_annotation.US EPA ToxCast,不干擾雌/雄激素受器,
Acetonitrile,,1,6342,75-05-8,急毒性危害,急性毒性,中,歐盟GHS,相對高,危害等級分類清楚。,歐盟,C大類「製造業」,Y,"ECHA provides an updated excel list of all harmonized classifications. Access the full list of CASRNs with associated harmonized GHS classifications using the first link below (Export search results function is at the bottom of the page).
https://echa.europa.eu/information-on-chemicals/cl-inventory-database
https://echa.europa.eu/information-on-chemicals/annex-vi-to-clp",急毒性危害第4級：H302 (吞食) 或H312 (皮膚) 或H332 (吸入),"",
Acetonitrile,,1,6342,75-05-8,急毒性危害,急性毒性,非常高,美國環保署極度危害物質清單,相對高,包含多種危害終點，危害等級分類模糊。,美國,所有,N,"Link leads to the USEPA Consolidated List of Lists, March 2015. GreenScreen utilizes only the EPCRA Section 302 Extremely Hazardous Substances. These are also listed in 40 CFR Part 355, Appendices A and B.
http://www.epa.gov/epcra/epcracerclacaa-ss112r-consolidated-list-lists-march-2015-version",極度危害物質,"",
Acetonitrile,,1,6342,75-05-8,急毒性危害,急性毒性,中,美國環保署CompTox資料庫,相對高,包含多種危害終點，危害等級分類模糊。,,,,https://www.epa.gov/chemical-research/comptox-chemicals-dashboard,"","",
Acetonitrile,,1,6342,75-05-8,急毒性危害,急性毒性,translation missing: zh-TW.level.DG,美國環保署CompTox資料庫,相對高,包含多種危害終點，危害等級分類模糊。,,,,https://www.epa.gov/chemical-research/comptox-chemicals-dashboard,"","",
Acetonitrile,,1,6342,75-05-8,急毒性危害,急性毒性,translation missing: zh-TW.level.DG,美國環保署CompTox資料庫,相對高,包含多種危害終點，危害等級分類模糊。,,,,https://www.epa.gov/chemical-research/comptox-chemicals-dashboard,"","",
Acetonitrile,,1,6342,75-05-8,急毒性危害,急性毒性,translation missing: zh-TW.level.DG,美國環保署CompTox資料庫,相對高,包含多種危害終點，危害等級分類模糊。,,,,https://www.epa.gov/chemical-research/comptox-chemicals-dashboard,"","",
Acetonitrile,,1,6342,75-05-8,急毒性危害,急性毒性,translation missing: zh-TW.level.DG,美國環保署CompTox資料庫,相對高,包含多種危害終點，危害等級分類模糊。,,,,https://www.epa.gov/chemical-research/comptox-chemicals-dashboard,"","",
Acetonitrile,,1,6342,75-05-8,急毒性危害,急性毒性,中,美國環保署CompTox資料庫,相對高,包含多種危害終點，危害等級分類模糊。,,,,https://www.epa.gov/chemical-research/comptox-chemicals-dashboard,"","",
Acetonitrile,,1,6342,75-05-8,急毒性危害,急性毒性,translation missing: zh-TW.level.DG,美國環保署CompTox資料庫,相對高,包含多種危害終點，危害等級分類模糊。,,,,https://www.epa.gov/chemical-research/comptox-chemicals-dashboard,"","",
Acetonitrile,,1,6342,75-05-8,急毒性危害,急性毒性,translation missing: zh-TW.level.DG,美國環保署CompTox資料庫,相對高,包含多種危害終點，危害等級分類模糊。,,,,https://www.epa.gov/chemical-research/comptox-chemicals-dashboard,"","",
Acetonitrile,,1,6342,75-05-8,急毒性危害,急性毒性,中,美國環保署CompTox資料庫,相對高,包含多種危害終點，危害等級分類模糊。,,,,https://www.epa.gov/chemical-research/comptox-chemicals-dashboard,"","",
Acetonitrile,,1,6342,75-05-8,急毒性危害,急性毒性,低,美國環保署CompTox資料庫,相對高,包含多種危害終點，危害等級分類模糊。,,,,https://www.epa.gov/chemical-research/comptox-chemicals-dashboard,"","",
