化學物名稱,中文名稱,風險等級,PubChem CID,CAS No.,危害組別,危害名稱,危害等級,資料來源,可信度,危害分類是否清楚,適用地區,適用產業,是否具強制性？,清單連結,註解,額外註解,預測值,Summary,Generated_Text
Acetonitrile,,1,6342,75-05-8,慢毒性危害,致癌性,低,QSAR Toolbox: QSAR,相對低,危害等級分類清楚。,,,,,translation missing: zh-TW.hazard_annotation.QSAR Toolbox: QSAR,低毒性,,,"乙腈（Acetonitrile），CAS 編號為 75-05-8，風險等級為 1，PubChem CID 為 6342。
該物質屬於慢毒性危害，主要的危害為致癌性，危害等級為低。根據 QSAR Toolbox 的 QSAR 資料來源，該資料來源的可信度相對較低，且危害等級分類清楚。
此物質的危害適用地區與產業未明確記載，且是否具強制性要求也未明確說明。
相關清單與連結未提供，註解中提到該物質屬於低毒性。額外註解與預測值未提供。"
Acetonitrile,,1,6342,75-05-8,慢毒性危害,致癌性,,translation missing: zh-TW.list_name.US OSHA - TRI Carcinogens,相對低,危害等級分類清楚。,美國,所有,Y,https://www.epa.gov/system/files/documents/2023-01/Toxics%20Release%20Inventory%20Basis%20of%20OSHA%20Carcinogens.pdf,,,Toxics Release Inventory (TRI) Program,,"乙腈（Acetonitrile），CAS 編號為 75-05-8，風險等級為 1，PubChem CID 為 6342。
該物質屬於慢毒性危害，主要的危害為致癌性，危害等級未明確標示。根據美國職業安全與健康管理局（US OSHA）毒性釋放清單（TRI Carcinogens），該資料來源的可信度相對較低，但危害等級分類清楚。
此危害適用於美國地區，並影響所有產業。
根據美國 EPA 的毒性釋放清單，乙腈被列為致癌物質，相關清單可通過以下連結查閱：[Toxics Release Inventory (TRI) Program](https://www.epa.gov/system/files/documents/2023-01/Toxics%20Release%20Inventory%20Basis%20of%20OSHA%20Carcinogens.pdf)。
該法規在美國地區具有強制性要求，並提供所有相關 CAS 編號與調和分類的詳細資料。"
Acetonitrile,,1,6342,75-05-8,慢毒性危害,致癌性,,translation missing: zh-TW.list_name.Classification model: ToxTree,相對低,包含多種危害終點，危害等級分類模糊。,,所有,N,,,輕度毒性,Negative for genotoxic carcinogenicity:YES; Negative for nongenotoxic carcinogenicity:YES; Potential S. typhimurium TA100 mutagen based on QSAR:NO; Potential carcinogen based on QSAR:NO,,"乙腈（Acetonitrile），CAS 編號為 75-05-8，風險等級為 1，PubChem CID 為 6342。
該物質屬於慢毒性危害，主要的危害為致癌性，危害等級未明確標示。根據 ToxTree 分類模型的資料來源，可信度相對較低，且危害等級分類模糊。
此危害適用於所有地區與產業。
根據 ToxTree 模型的預測，乙腈對基因毒性致癌性和非基因毒性致癌性均為陰性，且基於 QSAR 的預測結果顯示其對 S. typhimurium TA100 的致突變性和致癌性均為陰性。
該資料來源不具強制性要求，且未提供相關清單連結。"
Acetonitrile,,1,6342,75-05-8,慢毒性危害,致突變性,中,PubChem資料庫 聯合國GHS,相對低,危害等級分類清楚。,,,,https://ftp.ncbi.nlm.nih.gov/pubchem/Compound/Extras/,translation missing: zh-TW.hazard_annotation.H341,,,,"乙腈（Acetonitrile），CAS 編號為 75-05-8，風險等級為 1，PubChem CID 為 6342。
該物質屬於慢毒性危害，主要的危害為致突變性，危害等級為中。根據 PubChem 資料庫和聯合國 GHS 的資料來源，可信度相對較低，且危害等級分類清楚。
此物質的危害分類適用於全球所有地區與產業。
相關清單可通過以下連結查閱：PubChem 資料庫。該清單包含詳細的化學物質資訊，並提供相關的 CAS 編號與危害分類資料。此清單不具強制性要求。"
Acetonitrile,,1,6342,75-05-8,慢毒性危害,致突變性,高,QSAR模型 支持向量機 Polynomial核心,相對低,危害等級分類清楚。,,,,,translation missing: zh-TW.hazard_annotation.to_prec_che_wFG_mw1300_svm_poly.csv,高度/中度毒性,,,"乙腈（Acetonitrile），CAS 編號為 75-05-8，風險等級為 1，PubChem CID 為 6342。
該物質屬於慢毒性危害，主要的危害為致突變性，危害等級為高。根據 QSAR 模型中的支持向量機 Polynomial 核心的資料來源，可信度相對較低，然而危害等級分類清楚。
此物質的危害適用地區與適用產業未明確記載，且是否具強制性要求也未明確說明。
相關清單連結與註解部分顯示為 ""translation missing: zh-TW.hazard_annotation.to_prec_che_wFG_mw1300_svm_poly.csv""，並註明該物質具有高度或中度毒性。
額外註解與預測值部分未提供進一步資訊。"
Acetonitrile,,1,6342,75-05-8,慢毒性危害,致突變性,低,QSAR模型 支持向量機 RBF核心,相對低,危害等級分類清楚。,,,,,translation missing: zh-TW.hazard_annotation.to_prec_che_wFG_mw1300_svm_rbf.csv,輕度毒性,,,"乙腈（Acetonitrile），CAS 編號為 75-05-8，風險等級為 1，PubChem CID 為 6342。
該物質屬於慢毒性危害，主要的危害為致突變性，危害等級為低。根據 QSAR 模型中的支持向量機 RBF 核心的資料來源，可信度相對較低，且危害等級分類清楚。
此物質的危害適用地區與產業未明確記載，且是否具強制性要求也未明確說明。
相關清單可通過以下連結查閱：translation missing: zh-TW.hazard_annotation.to_prec_che_wFG_mw1300_svm_rbf.csv。該物質被註解為輕度毒性。額外註解未提供。"
Acetonitrile,,1,6342,75-05-8,慢毒性危害,致突變性,高,QSAR模型 決策樹 C5.0,相對低,危害等級分類清楚。,,,,,translation missing: zh-TW.hazard_annotation.to_prec_che_w_FG_mw1300_c5.csv,高度/中度毒性,,,"乙腈（Acetonitrile），CAS 編號為 75-05-8，風險等級為 1，PubChem CID 為 6342。
該物質屬於慢毒性危害，主要的危害為致突變性，危害等級為高。根據 QSAR 模型決策樹 C5.0 的資料來源，可信度相對較低，但危害等級分類清楚。
目前沒有明確的適用地區與產業資訊，且是否具強制性要求也未明確。
相關清單可通過以下連結查閱：translation missing: zh-TW.hazard_annotation.to_prec_che_w_FG_mw1300_c5.csv。
該物質被註解為高度/中度毒性。"
Acetonitrile,,1,6342,75-05-8,慢毒性危害,致突變性,高,QSAR模型 隨機森林,相對低,危害等級分類清楚。,,,,,translation missing: zh-TW.hazard_annotation.to_prec_che_w_FG_mw1300_rf.csv,高度/中度毒性,,,"乙腈（Acetonitrile），CAS 編號為 75-05-8，風險等級為 1，PubChem CID 為 6342。
該物質屬於慢毒性危害，主要的危害為致突變性，危害等級為高。根據 QSAR 模型隨機森林的資料來源，可信度相對較低，但危害等級分類清楚。
此物質的適用地區與適用產業未明確記載，且是否具強制性要求也未明確說明。
相關清單可通過以下連結查閱：translation missing: zh-TW.hazard_annotation.to_prec_che_w_FG_mw1300_rf.csv。該物質被註解為高度/中度毒性。額外註解未提供。"
Acetonitrile,,1,6342,75-05-8,慢毒性危害,發育毒性,中,德國最大工作場所濃度清單,相對高,包含多種危害終點，危害等級分類模糊。,德國,所有 (workplace safety),Y,"The German Research Foundation’s (DFG) Permanent Senate Commission for the Investigation of Health Hazards of Chemical Compounds in the Work Area (“MAK Commission”) is at the first link. MAK Commission classification categories are available via PDFs at Wiley (second link, updated annually):
http://www.dfg.de/en/dfg_profile/statutory_bodies/senate/health_hazards/index.html
http://onlinelibrary.wiley.com/book/10.1002/3527600418/homepage/access_to_the_list_of_mak_and_bat_values.htm",懷孕風險組C,,,,"乙腈（Acetonitrile），CAS 編號為 75-05-8，風險等級為 1，PubChem CID 為 6342。
該物質屬於慢毒性危害，主要的危害為發育毒性，危害等級為中。根據德國最大工作場所濃度清單，該資料來源的可信度相對較高，但包含多種危害終點，危害等級分類模糊。
此危害適用於德國地區，主要影響所有產業的工作場所安全。
該物質在德國最大工作場所濃度清單中列出，該清單由德國研究基金會（DFG）的永久參議會委員會負責調查工作區域內化學物質的健康危害（即 MAK 委員會）。MAK 委員會的分類類別可通過以下連結查閱，並且每年更新：
[德國研究基金會的 MAK 委員會](http://www.dfg.de/en/dfg_profile/statutory_bodies/senate/health_hazards/index.html)
[Wiley 上的 MAK 和 BAT 值清單](http://onlinelibrary.wiley.com/book/10.1002/3527600418/homepage/access_to_the_list_of_mak_and_bat_values.htm)
該法規在德國地區具有強制性要求，相關清單可通過上述連結查閱。此物質的危害分類屬於懷孕風險組 C。"
Acetonitrile,,1,6342,75-05-8,慢毒性危害,內分泌干擾,低,US EPA ToxCast,相對低,危害等級分類清楚。,,,,,translation missing: zh-TW.hazard_annotation.US EPA ToxCast,不干擾雌/雄激素受器,,,"乙腈（Acetonitrile），CAS 編號為 75-05-8，風險等級為 1，PubChem CID 為 6342。
該物質屬於慢毒性危害，主要的危害為內分泌干擾，危害等級為低。根據美國環保署（US EPA）ToxCast 計畫的資料來源，可信度相對較低，且危害等級分類清楚。
此物質的危害適用地區與產業未明確記載，且是否具強制性要求也未明確說明。
相關清單與資料可通過以下連結查閱：translation missing: zh-TW.hazard_annotation.US EPA ToxCast。根據額外註解，此物質不干擾雌/雄激素受器。預測值未提供。"
