化學物名稱,中文名稱,風險等級,PubChem CID,CAS No.,危害組別,危害名稱,危害等級,資料來源,可信度,危害分類是否清楚,適用地區,適用產業,是否具強制性？,清單連結,註解,額外註解,預測值,Summary,Generated_Text
Benzene,,1,241,71-43-2,慢毒性危害,致癌性,高,歐洲化學總署公告REACH法規附件17,相對高,危害等級分類清楚。,歐盟,C大類「製造業」,Y,"""Access the full list of REACH Annex XVII chemicals using the first link below (Export search results function is at the bottom of the page). GreenScreen List Translator only includes C, M, and R substances from Entries 28, 29, and 30.
The C, M, and R CASRN’s referred to in Entries 28, 29 and 30 are listed in Appendices 1-6 of REACH Regulation EC (No) 1907/2006, which is updated semi-regularly through amendments (Second link below).""
https://echa.europa.eu/substances-restricted-under-reach 
https://echa.europa.eu/regulations/reach/legislation 
https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:02006R1907-20220108&%20from=EN:#page=279 ",分類第一級或二級,,,,"苯（Benzene），CAS 編號為 71-43-2，風險等級為 1，PubChem CID 為 241。
該物質屬於慢毒性危害，主要的危害為致癌性，危害等級為高，根據歐洲化學總署公告的 REACH 法規附件 17，可信度相對較高，且危害等級分類明確。
此危害適用於歐盟地區，主要影響製造業（C 類）。
該物質在 REACH 法規中的附錄 17 中列出，該清單包含 C（致癌性）、M（致突變性）、R（生殖毒性）物質，且相關 CAS 編號記載於 REACH 法規 EC (No) 1907/2006 的附錄 1-6，並會隨著法規修訂進行更新。
該法規在歐盟地區具有強制性要求，相關清單可通過以下連結查閱：限制物質清單，REACH 法規，以及 歐盟法律文本。此物質的危害分類屬於第一級或第二級。"
Benzene,,1,241,71-43-2,慢毒性危害,致癌性,高,歐盟GHS,相對高,危害等級分類清楚。,歐盟,C大類「製造業」,Y,"ECHA provides an updated excel list of all harmonized classifications. Access the full list of CASRNs with associated harmonized GHS classifications using the first link below (Export search results function is at the bottom of the page).
https://echa.europa.eu/information-on-chemicals/cl-inventory-database
https://echa.europa.eu/information-on-chemicals/annex-vi-to-clp",致癌性危害第1A或1B級：H350或H350i (吸入性),,,,"苯（Benzene），CAS 編號為 71-43-2，風險等級為 1，PubChem CID 為 241。
此物質屬於慢毒性危害，主要危害為致癌性，危害等級為高，根據歐盟 GHS 的資料來源，可信度相對較高，且危害等級分類清楚。
該危害適用於歐盟地區，主要影響製造業（C 類）。
此物質的危害等級被列為第 1A 或 1B 級的致癌性危害，並對應 H350 或 H350i（吸入性）。
相關的歐盟 GHS 調和分類的最新清單，可通過以下連結查閱：
- [化學物質資訊資料庫](https://echa.europa.eu/information-on-chemicals/cl-inventory-database)
- [CLP 法規附錄 VI](https://echa.europa.eu/information-on-chemicals/annex-vi-to-clp)

這些清單會定期更新，並提供所有相關 CAS 編號與調和分類的 Excel 清單下載功能。"
Benzene,,1,241,71-43-2,慢毒性危害,致癌性,高,國際癌症研究機構清單,相對高,危害等級分類清楚。,全球,所有,N,"Lists provided at the link below reference the relevant IARC monograph volume or supplement. Substances may be listed by CAS number, name or collectively as a substance group.
http://monographs.iarc.fr/ENG/Classification/index.php",第1類：已知人類致癌物 或 第2a類：極可能為人體致癌物,,,,"苯（Benzene），CAS 編號為 71-43-2，風險等級為 1，PubChem CID 為 241。

該物質屬於慢毒性危害，主要的危害為致癌性，危害等級為高。根據國際癌症研究機構（IARC）清單，該資料來源的可信度相對較高，且危害等級分類清楚。

此物質的危害適用於全球所有地區與產業。

根據 IARC 分類，苯被歸類為第 1 類（已知人類致癌物）或第 2A 類（極可能為人體致癌物）。相關清單可通過以下連結查閱：IARC 分類清單，清單中會列出相關 IARC 專題研究的卷冊或補充資料，物質可按 CAS 編號、名稱或作為物質群體列出。此清單不具強制性。

相關清單連結：http://monographs.iarc.fr/ENG/Classification/index.php"
Benzene,,1,241,71-43-2,慢毒性危害,致癌性,高,美國環保署整合性風險資料系統,相對高,危害等級分類清楚。,美國,所有,N,"""US EPA Integrated Risk Information System home page (first link).
Advanced search by substance ID (second link).""
http://www.epa.gov/ncea/iris/search_human.htm 
https://iris.epa.gov/AdvancedSearch/ 
https://www.epa.gov/iris ",Group A or B1 or B2,,,,"苯（Benzene），CAS 編號為 71-43-2，風險等級為 1，PubChem CID 為 241。

該物質屬於慢毒性危害，主要的危害為致癌性，危害等級為高。根據美國環保署整合性風險資料系統（US EPA Integrated Risk Information System）的資料來源，該資料的可信度相對較高，且危害等級分類清楚。

此危害適用於美國地區，並且影響所有產業。根據美國環保署的分類，苯被歸類為 Group A（已知人類致癌物）或 B1 或 B2 類（可能或可能的致癌物）。

相關清單可通過以下連結查閱：
- [US EPA Integrated Risk Information System home page](http://www.epa.gov/ncea/iris/search_human.htm)
- [Advanced search by substance ID](https://iris.epa.gov/AdvancedSearch/)
- [EPA IRIS](https://www.epa.gov/iris)

此清單不具強制性要求。"
Benzene,,1,241,71-43-2,慢毒性危害,致癌性,高,美國環保署整合性風險資料系統,相對高,危害等級分類清楚。,美國,所有,N,"""US EPA Integrated Risk Information System home page (first link).
Advanced search by substance ID (second link).""
http://www.epa.gov/ncea/iris/search_human.htm 
https://iris.epa.gov/AdvancedSearch/ 
https://www.epa.gov/iris ",已知或很可能有毒性,,,,"苯（Benzene），CAS 編號為 71-43-2，風險等級為 1，PubChem CID 為 241。

該物質屬於慢毒性危害，主要的危害為致癌性，危害等級為高。根據美國環保署整合性風險資料系統（IRIS）的資料來源，該資料的可信度相對較高，且危害等級分類清楚。

此危害適用於美國地區，並影響所有產業。

該物質在美國環保署的 IRIS 系統中列出，該系統包含已知或很可能有毒性的物質，並提供詳細的風險評估資料。相關清單可通過以下連結查閱：美國環保署整合性風險資料系統首頁（第一個連結），以及通過物質 ID 進行高級搜索（第二個連結）。這些清單會定期更新，並提供所有相關 CAS 編號與風險評估資料的查詢功能。

此清單不具強制性要求，但提供了重要的參考資料。相關連結如下：
- [美國環保署整合性風險資料系統首頁](http://www.epa.gov/ncea/iris/search_human.htm)
- [高級搜索](https://iris.epa.gov/AdvancedSearch/)
- [美國環保署 IRIS](https://www.epa.gov/iris)

該物質已知或很可能具有毒性。"
Benzene,,1,241,71-43-2,慢毒性危害,致癌性,高,美國衛生與公眾服務部-第十四次致癌物報告,相對高,危害等級分類清楚。,美國,所有,Y,"The Report on Carcinogens (RoC) is prepared by the National Toxicology Program (NTP) on behalf of the Secretary, Health and Human Services (description at the first link). The latest RoC edition is available at the second link.
http://ntp.niehs.nih.gov/pubhealth/roc/index.html
http://ntp.niehs.nih.gov/pubhealth/roc/roc12/index.html",合理預期的人類致癌物,,,,"苯（Benzene），CAS 編號為 71-43-2，風險等級為 1，PubChem CID 為 241。
該物質屬於慢毒性危害，主要的危害為致癌性，危害等級為高。根據美國衛生與公眾服務部第十四次致癌物報告，該資料來源的可信度相對較高，且危害等級分類清楚。
此危害適用於美國地區，並影響所有產業。
根據報告，苯被合理預期為人類致癌物。相關清單可通過以下連結查閱：The Report on Carcinogens (RoC) is prepared by the National Toxicology Program (NTP) on behalf of the Secretary, Health and Human Services（描述見第一個連結）。最新的 RoC 版本可在第二個連結中查閱：http://ntp.niehs.nih.gov/pubhealth/roc/index.html 和 http://ntp.niehs.nih.gov/pubhealth/roc/roc12/index.html。
此清單在美國地區具有強制性要求。"
Benzene,,1,241,71-43-2,慢毒性危害,致癌性,高,美國疾病控制中心 - 職業致癌物清單,相對高,危害等級分類清楚。,美國,所有 (workplace safety),N,"NIOSH's carcinogen policy is described at the first link below. The current occupational carcinogen list is at the second link
http://www.cdc.gov/niosh/topics/cancer/policy.html
http://www.cdc.gov/niosh/topics/cancer/npotocca.html",職業性致癌物,,,,"苯（Benzene），CAS 編號為 71-43-2，風險等級為 1，PubChem CID 為 241。

該物質屬於慢毒性危害，主要的危害為致癌性，危害等級為高。根據美國疾病控制中心（CDC）職業致癌物清單的資料來源，可信度相對較高，且危害等級分類清楚。

此危害適用於美國地區，主要影響所有工作場所的安全（workplace safety）。

該物質在 CDC 的職業性致癌物清單中列出，該清單包含所有已知或可能的職業性致癌物。相關的職業性致癌物清單與政策可通過以下連結查閱：NIOSH 的致癌物政策，以及當前的職業性致癌物清單。這些清單會定期更新，並提供所有相關的 CAS 編號與物質名稱。

此清單不具強制性要求，但對於工作場所的安全管理具有重要參考價值。"
Benzene,,1,241,71-43-2,慢毒性危害,致癌性,高,美國加州第65號提案,相對高,危害等級分類清楚。,加利福尼亞州 美國,所有,Y,"Prop 65 descriptive information is at the first link below. The second link provides the current list of substances.
http://oehha.ca.gov/proposition-65/about-proposition-65
http://oehha.ca.gov/proposition-65/proposition-65-list",Carcinogen – specific to chemical form or exposure route,,,,"苯（Benzene），CAS 編號為 71-43-2，風險等級為 1，PubChem CID 為 241。
該物質屬於慢毒性危害，主要的危害為致癌性，危害等級為高。根據美國加州第65號提案的資料來源，該資料來源的可信度相對較高，且危害等級分類清楚。
此危害適用於加利福尼亞州 美國，主要影響所有產業。
該物質在加州第65號提案中列出，該清單包含特定化學形式或暴露途徑的致癌物質，且相關 CAS 編號記載於提案中，並會隨著法規修訂進行更新。
該法規在加利福尼亞州具有強制性要求，相關清單可通過以下連結查閱：Proposition 65 descriptive information，以及 Proposition 65 list。此物質的危害分類屬於第一級或第二級。"
Benzene,,1,241,71-43-2,慢毒性危害,致癌性,高,德國最大工作場所濃度清單,相對高,包含多種危害終點，危害等級分類模糊。,德國,所有 (workplace safety),Y,"The German Research Foundation’s (DFG) Permanent Senate Commission for the Investigation of Health Hazards of Chemical Compounds in the Work Area (“MAK Commission”) is at the first link. MAK Commission classification categories are available via PDFs at Wiley (second link, updated annually):
http://www.dfg.de/en/dfg_profile/statutory_bodies/senate/health_hazards/index.html
http://onlinelibrary.wiley.com/book/10.1002/3527600418/homepage/access_to_the_list_of_mak_and_bat_values.htm",致癌物第一或二組,,,,"苯（Benzene），CAS 編號為 71-43-2，風險等級為 1，PubChem CID 為 241。

該物質屬於慢毒性危害，主要的危害為致癌性，危害等級為高。根據德國最大工作場所濃度清單的資料來源，該資料的可信度相對較高。然而，該清單包含多種危害終點，危害等級分類較為模糊。

此危害適用於德國地區，主要影響所有涉及工作場所安全的產業。

該物質在德國最大工作場所濃度清單中列出，該清單由德國研究基金會（DFG）常設參議會化學化合物健康危害調查委員會（MAK Commission）負責，相關分類可通過以下連結查閱：
1. [DFG 官方網站](http://www.dfg.de/en/dfg_profile/statutory_bodies/senate/health_hazards/index.html)
2. [Wiley 上的 MAK 和 BAT 值清單](http://onlinelibrary.wiley.com/book/10.1002/3527600418/homepage/access_to_the_list_of_mak_and_bat_values.htm)

該清單每年更新，並提供相關的 PDF 文件下載功能。根據 MAK Commission 的分類，苯被歸類為致癌物第一或第二組。此法規在德國地區具有強制性要求。"
Benzene,,1,241,71-43-2,慢毒性危害,致癌性,高,加拿大工作場所有害物質訊息系統 2015 分類清單,相對低,危害等級分類清楚。,加拿大,所有,Y,"Description of the WHMIS is available at the first link below. The Quebec CSST site (second link) contains a list of controlled products, also available by CAS number and as a txt or PDF file.
http://www.hc-sc.gc.ca/ewh-semt/occup-travail/whmis-simdut/index-eng.php
http://www.csst.qc.ca/en/prevention/reptox/Pages/list-whmis-1988-cas-50-84.aspx",致癌性危害第1A或1B級：H350或H350i (吸入性),,,,"苯（Benzene），CAS 編號為 71-43-2，風險等級為 1，PubChem CID 為 241。
該物質屬於慢毒性危害，主要的危害為致癌性，危害等級為高。根據加拿大工作場所有害物質訊息系統 2015 分類清單，該資料來源的可信度相對較低，且危害等級分類清楚。
此危害適用於加拿大地區，並影響所有產業。
根據 WHMIS（加拿大工作場所有害物質訊息系統）的描述，該物質在 WHMIS 系統中具有強制性要求。相關清單可通過以下連結查閱：WHMIS 系統描述，以及 Quebec CSST 網站，該網站包含受控產品清單，並可按 CAS 編號查詢，提供 txt 或 PDF 格式的下載。
此物質的危害等級被列為第 1A 或 1B 級的致癌性危害，並對應 H350 或 H350i（吸入性）。"
Benzene,,1,241,71-43-2,慢毒性危害,致癌性,高,澳洲GHS,相對低,危害等級分類清楚。,澳洲,所有,Y,"The Hazardous Chemical Information System (HCIS) is a database that allows you to find information on chemicals that have been classified in accordance with the GHS. Download the list using the link below.
http://hsis.safeworkaustralia.gov.au/GHSInformation/GHS_Hazardous_Chemical_Information_List",致癌性危害第1A或1B級：H350或H350i (吸入性),,,,"苯（Benzene），CAS 編號為 71-43-2，風險等級為 1，PubChem CID 為 241。
該物質屬於慢毒性危害，主要的危害為致癌性，危害等級為高。根據澳洲 GHS 的資料來源，可信度相對較低，但危害等級分類清楚。
此危害適用於澳洲地區，並影響所有產業。
該物質在澳洲 GHS 中被列為第 1A 或 1B 級的致癌性危害，並對應 H350 或 H350i（吸入性）。
相關的澳洲 GHS 調和分類的最新清單，可通過以下連結查閱：The Hazardous Chemical Information System (HCIS) is a database that allows you to find information on chemicals that have been classified in accordance with the GHS. Download the list using the link below.
http://hsis.safeworkaustralia.gov.au/GHSInformation/GHS_Hazardous_Chemical_Information_List。
該法規在澳洲地區具有強制性要求。"
Benzene,,1,241,71-43-2,慢毒性危害,致癌性,高,日本GHS,相對低,危害等級分類清楚。,日本,所有,Y,"The NITE Chemical Risk Information Platform (NITE-CHRIP) database can be used to search for GHS Classifications for chemicals individually. To retrieve a full list of CASRNs, ""check all the boxes"" in the ""GHS Classification Results by the Japanese Government"" section, which is a subsection under ""Chemical Hazard and Risk Information"".
http://www.nite.go.jp/en/chem/chrip/chrip_search/srhInput",致癌性危害第1A或1B級：H350或H350i (吸入性),,,,"苯（Benzene），CAS 編號為 71-43-2，風險等級為 1，PubChem CID 為 241。
該物質屬於慢毒性危害，主要的危害為致癌性，危害等級為高。根據日本 GHS 的資料來源，可信度相對較低，但危害等級分類清楚。
此危害適用於日本地區，並影響所有產業。
根據日本 GHS 的分類，苯被歸類為第 1A 或 1B 級的致癌性危害，並對應 H350 或 H350i（吸入性）。
相關清單可通過以下連結查閱：The NITE Chemical Risk Information Platform (NITE-CHRIP) database。該資料庫可用於單獨搜索化學物質的 GHS 分類。要檢索完整的 CASRNs 清單，請在 ""GHS Classification Results by the Japanese Government"" 部分中 ""check all the boxes""，這是 ""Chemical Hazard and Risk Information"" 的子部分。
此法規在日本地區具有強制性要求，相關清單可通過以下連結查閱：http://www.nite.go.jp/en/chem/chrip/chrip_search/srhInput。"
Benzene,,1,241,71-43-2,慢毒性危害,致癌性,高,南韓GHS,相對低,危害等級分類清楚。,韓國,所有,Y,"The Korean National Chemicals Information System (NCiS) can be used to search for GHS Classifications for chemicals. GreenScreen List Translator only includes chemicals in 5 broad search categories: Phase-in substances subject to registration, Toxic Substances, Restricted Substances, Prohibited Substances, and Substances requiring preparation for accidents. Search each category, as a chemical may be on one list and not another.
http://ncis.nier.go.kr/en/main.do",致癌性危害第1A或1B級：H350或H350i (吸入性),,,,"苯（Benzene），CAS 編號為 71-43-2，風險等級為 1，PubChem CID 為 241。

該物質屬於慢毒性危害，主要的危害為致癌性，危害等級為高。根據南韓 GHS 的資料來源，該資料來源的可信度相對較低，但危害等級分類清楚。

此危害適用於韓國地區，並適用於所有產業。根據南韓 GHS 的分類，苯被歸類為第 1A 或 1B 級的致癌性危害，並對應 H350 或 H350i（吸入性）。

相關的南韓 GHS 調和分類的最新清單，可通過以下連結查閱：The Korean National Chemicals Information System (NCiS)。該系統可用於搜索化學品的 GHS 分類。GreenScreen List Translator 僅包含五大類別的化學品：需註冊的過渡性物質、有毒物質、受限制物質、禁止物質以及需準備應急措施的物質。每個類別都需單獨搜索，因為某些化學品可能只在其中一個清單中出現。

該法規在韓國地區具有強制性要求，相關清單可通過以下連結查閱：http://ncis.nier.go.kr/en/main.do。"
Benzene,,1,241,71-43-2,慢毒性危害,致癌性,高,馬來西亞GHS,相對低,危害等級分類清楚。,馬來西亞,C大類「製造業」、G大類「批發及零售業」,Y,"The Chemical Search database provided by the Malaysia Department of Environmental Safety and Health (DOSH) can be used to search for GHS Classifications for individual chemicals only.
http://cims.dosh.gov.my/",致癌性危害第1A或1B級：H350或H350i (吸入性),,,,"苯（Benzene），CAS 編號為 71-43-2，風險等級為 1，PubChem CID 為 241。
該物質屬於慢毒性危害，主要的危害為致癌性，危害等級為高。根據馬來西亞 GHS 的資料來源，可信度相對較低，但危害等級分類清楚。
此危害適用於馬來西亞地區，主要影響製造業（C 類）和批發及零售業（G 類）。
該物質在馬來西亞 GHS 中被列為第 1A 或 1B 級的致癌性危害，並對應 H350 或 H350i（吸入性）。
相關清單可通過以下連結查閱：The Chemical Search database provided by the Malaysia Department of Environmental Safety and Health (DOSH) can be used to search for GHS Classifications for individual chemicals only.（http://cims.dosh.gov.my/）。
此法規在馬來西亞地區具有強制性要求。"
Benzene,,1,241,71-43-2,慢毒性危害,致癌性,高,紐西蘭GHS,相對低,危害等級分類清楚。,紐西蘭,所有,Y,"The Chemical Classification and Information Database (CCID) provided by the New Zealand Hazardous Substances and New Organisms (HSNO) can be used to search for hazards of individual chemicals (first link). New Zealand uses their own classification terminology which need to be converted to GHS classification categories to be used in the List Translator. A document describing the translation from HSNO to GHS classification is available at the second link.
http://www.epa.govt.nz/search-databases/Pages/HSNO-CCID.aspx
http://www.epa.govt.nz/Publications/hsnogen-ghs-nz-hazard.pdf",致癌性危害第1A或1B級：H350或H350i (吸入性),,,,"苯（Benzene），CAS 編號為 71-43-2，風險等級為 1，PubChem CID 為 241。

該物質屬於慢毒性危害，主要的危害為致癌性，危害等級為高。根據紐西蘭 GHS 的資料來源，可信度相對較低，但危害等級分類清楚。

此危害適用於紐西蘭地區，並且影響所有產業。根據紐西蘭的分類，該物質的致癌性危害被列為第 1A 或 1B 級，並對應 H350 或 H350i（吸入性）。

紐西蘭的化學物質分類和資訊資料庫（CCID）由紐西蘭危險物質和新生物體管理局（HSNO）提供，可以用來查詢個別化學物質的危害（第一個連結）。紐西蘭使用其自身的分類術語，這些術語需要轉換為 GHS 分類類別才能在清單翻譯器中使用。關於從 HSNO 到 GHS 分類的轉換文件可在第二個連結中查閱。

該法規在紐西蘭地區具有強制性要求，相關清單可通過以下連結查閱：
- [HSNO-CCID 資料庫](http://www.epa.govt.nz/search-databases/Pages/HSNO-CCID.aspx)
- [HSNO 到 GHS 分類轉換文件](http://www.epa.govt.nz/Publications/hsnogen-ghs-nz-hazard.pdf)

此物質的危害分類屬於第 1A 或 1B 級的致癌性危害。"
Benzene,,1,241,71-43-2,慢毒性危害,致癌性,高,國際化學品秘書處 - 立即替換清單,相對低,危害等級分類清楚。,全球,所有,Y,"A description of ChemSec is available at the first link below. The current SIN List can be searched or listed in full at the website at the second link below.
http://chemsec.org/about-us
http://sinlist.chemsec.org/",致癌性危害第1A或1B級：H350或H350i (吸入性),,,,"苯（Benzene），CAS 編號為 71-43-2，風險等級為 1，PubChem CID 為 241。

該物質屬於慢毒性危害，主要的危害為致癌性，危害等級為高。根據國際化學品秘書處（ChemSec）公告的立即替換清單，該資料來源的可信度相對較低，但危害等級分類清楚。

此危害適用於全球所有地區與產業。該物質在 ChemSec 的立即替換清單中列出，該清單包含致癌性危害第1A或1B級，並對應 H350 或 H350i（吸入性）。

該清單在全球範圍內具有強制性要求，相關清單可通過以下連結查閱：ChemSec 關於我們，以及 SIN List。此物質的危害分類屬於第一級或第二級。

相關清單會定期更新，並提供所有相關 CAS 編號與調和分類的詳細資訊。"
