化學物名稱,中文名稱,風險等級,PubChem CID,CAS No.,危害組別,危害名稱,危害等級,資料來源,可信度,危害分類是否清楚,適用地區,適用產業,是否具強制性？,清單連結,註解,額外註解,預測值,Summary,Generated_Text
Di(2-ethylhexyl)phthalate (DEHP) ,,1,8343,117-81-7,慢毒性危害,致癌性,中,國際癌症研究機構清單,相對高,危害等級分類清楚。,全球,所有,N,"Lists provided at the link below reference the relevant IARC monograph volume or supplement. Substances may be listed by CAS number, name or collectively as a substance group.
http://monographs.iarc.fr/ENG/Classification/index.php",第2b類：疑似人體致癌物,,,,"Di(2-ethylhexyl)phthalate (DEHP)，CAS 編號為 117-81-7，風險等級為 1，PubChem CID 為 8343。
該物質屬於慢毒性危害，主要的危害為致癌性，危害等級為中。根據國際癌症研究機構（IARC）清單，該資料來源的可信度相對較高，且危害等級分類清楚。
此物質的危害適用於全球所有地區與產業。
根據 IARC 分類，DEHP 被歸類為第 2B 類（疑似人體致癌物）。相關清單可通過以下連結查閱：IARC 分類清單。清單中會列出相關 IARC 專題研究的卷冊或補充資料，物質可按 CAS 編號、名稱或作為物質群體列出。此清單不具強制性。

相關清單可通過以下連結查閱：[IARC 分類清單](http://monographs.iarc.fr/ENG/Classification/index.php)。"
Di(2-ethylhexyl)phthalate (DEHP) ,,1,8343,117-81-7,慢毒性危害,致癌性,高,美國環保署整合性風險資料系統,相對高,危害等級分類清楚。,美國,所有,N,"""US EPA Integrated Risk Information System home page (first link).
Advanced search by substance ID (second link).""
http://www.epa.gov/ncea/iris/search_human.htm 
https://iris.epa.gov/AdvancedSearch/ 
https://www.epa.gov/iris ",Group A or B1 or B2,,,,"Di(2-ethylhexyl)phthalate (DEHP)，CAS 編號為 117-81-7，風險等級為 1，PubChem CID 為 8343。
該物質屬於慢毒性危害，主要的危害為致癌性，危害等級為高。根據美國環保署整合性風險資料系統（IRIS），該資料來源的可信度相對較高，且危害等級分類清楚。
此危害適用於美國地區，並影響所有產業。
根據美國環保署的分類，DEHP 被歸類為 Group A（已知人類致癌物）、B1（可能為人體致癌物）或 B2（可能為人體致癌物）。相關清單可通過以下連結查閱：US EPA Integrated Risk Information System home page，Advanced search by substance ID。
這些清單會定期更新，並提供所有相關 CAS 編號與調和分類的詳細資料。此清單不具強制性。"
Di(2-ethylhexyl)phthalate (DEHP) ,,1,8343,117-81-7,慢毒性危害,致癌性,高,美國衛生與公眾服務部-第十四次致癌物報告,相對高,危害等級分類清楚。,美國,所有,Y,"The Report on Carcinogens (RoC) is prepared by the National Toxicology Program (NTP) on behalf of the Secretary, Health and Human Services (description at the first link). The latest RoC edition is available at the second link.
http://ntp.niehs.nih.gov/pubhealth/roc/index.html
http://ntp.niehs.nih.gov/pubhealth/roc/roc12/index.html",合理預期的人類致癌物,,,,"Di(2-ethylhexyl)phthalate (DEHP)，CAS 編號為 117-81-7，風險等級為 1，PubChem CID 為 8343。
該物質屬於慢毒性危害，主要的危害為致癌性，危害等級為高。根據美國衛生與公眾服務部第十四次致癌物報告，該資料來源的可信度相對較高，且危害等級分類清楚。
此危害適用於美國地區，並影響所有產業。
根據美國衛生與公眾服務部的報告，DEHP 被合理預期為人類致癌物。相關清單可通過以下連結查閱：The Report on Carcinogens (RoC) is prepared by the National Toxicology Program (NTP) on behalf of the Secretary, Health and Human Services (description at the first link). The latest RoC edition is available at the second link.
http://ntp.niehs.nih.gov/pubhealth/roc/index.html
http://ntp.niehs.nih.gov/pubhealth/roc/roc12/index.html
該法規在美國地區具有強制性要求。"
Di(2-ethylhexyl)phthalate (DEHP) ,,1,8343,117-81-7,慢毒性危害,致癌性,高,美國疾病控制中心 - 職業致癌物清單,相對高,危害等級分類清楚。,美國,所有 (workplace safety),N,"NIOSH's carcinogen policy is described at the first link below. The current occupational carcinogen list is at the second link
http://www.cdc.gov/niosh/topics/cancer/policy.html
http://www.cdc.gov/niosh/topics/cancer/npotocca.html",職業性致癌物,,,,"Di(2-ethylhexyl)phthalate (DEHP)，CAS 編號為 117-81-7，風險等級為 1，PubChem CID 為 8343。
該物質屬於慢毒性危害，主要的危害為致癌性，危害等級為高。根據美國疾病控制中心（CDC）職業致癌物清單，該資料來源的可信度相對較高，且危害等級分類清楚。
此危害適用於美國地區，主要影響所有涉及工作場所安全的產業。
根據 CDC 的職業致癌物政策，DEHP 被列為職業性致癌物。相關清單可通過以下連結查閱：CDC 職業致癌物政策，以及當前的職業致癌物清單。這些清單會定期更新，並提供所有相關 CAS 編號與分類的詳細資訊。
此清單不具強制性要求。"
Di(2-ethylhexyl)phthalate (DEHP) ,,1,8343,117-81-7,慢毒性危害,致癌性,高,美國加州第65號提案,相對高,危害等級分類清楚。,加利福尼亞州 美國,所有,Y,"Prop 65 descriptive information is at the first link below. The second link provides the current list of substances.
http://oehha.ca.gov/proposition-65/about-proposition-65
http://oehha.ca.gov/proposition-65/proposition-65-list",致癌性,,,,"Di(2-ethylhexyl)phthalate (DEHP)，CAS 編號為 117-81-7，風險等級為 1，PubChem CID 為 8343。
該物質屬於慢毒性危害，主要的危害為致癌性，危害等級為高。根據美國加州第65號提案的資料來源，可信度相對較高，且危害等級分類清楚。
此危害適用於加利福尼亞州，美國，並影響所有產業。
該物質在美國加州第65號提案中列出，該清單包含致癌性物質，且相關 CAS 編號記載於提案的清單中，並會隨著法規修訂進行更新。
該法規在加利福尼亞州具有強制性要求，相關清單可通過以下連結查閱：Proposition 65 描述性資訊，以及 Proposition 65 當前物質清單。此物質的危害分類屬於高等級。

Prop 65 描述性資訊可通過以下連結查閱：
[Proposition 65 描述性資訊](http://oehha.ca.gov/proposition-65/about-proposition-65)
當前物質清單可通過以下連結查閱：
[Proposition 65 當前物質清單](http://oehha.ca.gov/proposition-65/proposition-65-list)"
Di(2-ethylhexyl)phthalate (DEHP) ,,1,8343,117-81-7,慢毒性危害,致癌性,中,加拿大工作場所有害物質訊息系統 2015 分類清單,相對低,危害等級分類清楚。,加拿大,所有,Y,"Description of the WHMIS is available at the first link below. The Quebec CSST site (second link) contains a list of controlled products, also available by CAS number and as a txt or PDF file.
http://www.hc-sc.gc.ca/ewh-semt/occup-travail/whmis-simdut/index-eng.php
http://www.csst.qc.ca/en/prevention/reptox/Pages/list-whmis-1988-cas-50-84.aspx",致癌性危害第2級：H351,,,,"Di(2-ethylhexyl)phthalate (DEHP)，CAS 編號為 117-81-7，風險等級為 1，PubChem CID 為 8343。
該物質屬於慢毒性危害，主要的危害為致癌性，危害等級為中。根據加拿大工作場所有害物質訊息系統 2015 分類清單，該資料來源的可信度相對較低，但危害等級分類清楚。
此危害適用於加拿大地區，並影響所有產業。
該物質在加拿大工作場所有害物質訊息系統（WHMIS）中列出，該清單包含受控產品，並可按 CAS 編號查詢，相關資料可通過以下連結查閱：WHMIS 說明頁面，以及 Quebec CSST 網站的受控產品清單。該清單提供 txt 或 PDF 格式的下載功能。
此法規在加拿大地區具有強制性要求，相關清單可通過以下連結查閱：WHMIS 說明頁面，以及 Quebec CSST 網站的受控產品清單。此物質的危害分類屬於第 2 級致癌性危害（H351）。"
Di(2-ethylhexyl)phthalate (DEHP) ,,1,8343,117-81-7,慢毒性危害,致癌性,高,澳洲GHS,相對低,危害等級分類清楚。,澳洲,所有,Y,"The Hazardous Chemical Information System (HCIS) is a database that allows you to find information on chemicals that have been classified in accordance with the GHS. Download the list using the link below.
http://hsis.safeworkaustralia.gov.au/GHSInformation/GHS_Hazardous_Chemical_Information_List",致癌性危害第1A或1B級：H350或H350i (吸入性),,,,"Di(2-ethylhexyl)phthalate (DEHP)，CAS 編號為 117-81-7，風險等級為 1，PubChem CID 為 8343。
該物質屬於慢毒性危害，主要的危害為致癌性，危害等級為高。根據澳洲 GHS 的資料來源，可信度相對較低，但危害等級分類清楚。
此危害適用於澳洲地區，並影響所有產業。
該物質在澳洲 GHS 中被列為第 1A 或 1B 級的致癌性危害，並對應 H350 或 H350i（吸入性）。
相關的澳洲 GHS 調和分類的最新清單，可通過以下連結查閱：The Hazardous Chemical Information System (HCIS)，該資料庫允許查找根據 GHS 分類的化學物質資訊。清單可通過以下連結下載：http://hsis.safeworkaustralia.gov.au/GHSInformation/GHS_Hazardous_Chemical_Information_List。
此法規在澳洲地區具有強制性要求。"
Di(2-ethylhexyl)phthalate (DEHP) ,,1,8343,117-81-7,慢毒性危害,致癌性,中,日本GHS,相對低,危害等級分類清楚。,日本,所有,Y,"The NITE Chemical Risk Information Platform (NITE-CHRIP) database can be used to search for GHS Classifications for chemicals individually. To retrieve a full list of CASRNs, ""check all the boxes"" in the ""GHS Classification Results by the Japanese Government"" section, which is a subsection under ""Chemical Hazard and Risk Information"".
http://www.nite.go.jp/en/chem/chrip/chrip_search/srhInput",致癌性危害第2級：H351,,,,"Di(2-ethylhexyl)phthalate (DEHP)，CAS 編號為 117-81-7，風險等級為 1，PubChem CID 為 8343。
該物質屬於慢毒性危害，主要的危害為致癌性，危害等級為中。根據日本 GHS 的資料來源，可信度相對較低，且危害等級分類清楚。
此危害適用於日本地區，並影響所有產業。
根據日本 GHS 的分類，DEHP 被歸類為第 2 級致癌性危害，對應 H351（懷疑對人類致癌）。
相關的日本 GHS 調和分類的最新清單，可通過以下連結查閱：The NITE Chemical Risk Information Platform (NITE-CHRIP) database。該資料庫可用於單獨搜索化學物質的 GHS 分類，並可在 ""GHS Classification Results by the Japanese Government"" 部分中勾選所有選項以檢索完整的 CASRNs 清單。
此法規在日本地區具有強制性要求，相關清單可通過以下連結查閱：http://www.nite.go.jp/en/chem/chrip/chrip_search/srhInput。此物質的危害分類屬於第 2 級致癌性危害：H351。"
Di(2-ethylhexyl)phthalate (DEHP) ,,1,8343,117-81-7,慢毒性危害,致癌性,高,PubChem資料庫 聯合國GHS,相對低,危害等級分類清楚。,,,,https://ftp.ncbi.nlm.nih.gov/pubchem/Compound/Extras/,translation missing: zh-TW.hazard_annotation.H350,,,,"Di(2-ethylhexyl)phthalate (DEHP)，CAS 編號為 117-81-7，風險等級為 1，PubChem CID 為 8343。
該物質屬於慢毒性危害，主要的危害為致癌性，危害等級為高。根據 PubChem 資料庫和聯合國 GHS 的資料來源，該資料來源的可信度相對較低，但危害等級分類清楚。
目前沒有明確指出此危害適用的地區和產業，且是否具強制性也未明確說明。
相關清單可通過以下連結查閱：PubChem 資料庫。該清單包含相關的 CAS 編號與物質資訊，並會隨著資料庫的更新進行調整。
此物質的危害分類屬於 H350（致癌性）。"
Di(2-ethylhexyl)phthalate (DEHP) ,,1,8343,117-81-7,慢毒性危害,致癌性,中,PubChem資料庫 聯合國GHS,相對低,危害等級分類清楚。,,,,https://ftp.ncbi.nlm.nih.gov/pubchem/Compound/Extras/,致癌性危害第2級：H351,,,,"Di(2-ethylhexyl)phthalate (DEHP)，CAS 編號為 117-81-7，風險等級為 1，PubChem CID 為 8343。
該物質屬於慢毒性危害，主要的危害為致癌性，危害等級為中。根據 PubChem 資料庫和聯合國 GHS 的資料來源，可信度相對較低，但危害等級分類清楚。
此物質的危害適用於全球所有地區與產業。根據聯合國 GHS 的分類，DEHP 被歸類為第 2 級致癌性危害，並對應 H351（懷疑對人類致癌）。
相關的資料可通過以下連結查閱：PubChem 資料庫，該資料庫提供詳細的化學物質資訊與相關研究資料。此清單不具強制性要求。"
