化學物名稱,中文名稱,風險等級,PubChem CID,CAS No.,危害組別,危害名稱,危害等級,資料來源,可信度,危害分類是否清楚,適用地區,適用產業,是否具強制性？,清單連結,註解,額外註解,預測值
Diisononyl phthalate (DINP),,1,590836,28553-12-0,慢毒性危害,致癌性,高,QSAR模型 決策樹 C5.0,相對低,危害等級分類清楚。,,,,,SAS QSAR模型 決策樹 C5.0,高度/中度毒性,
Diisononyl phthalate (DINP),,1,590836,28553-12-0,慢毒性危害,致癌性,高,QSAR模型 隨機森林,相對低,危害等級分類清楚。,,,,,SAS QSAR模型 隨機森林,高度/中度毒性,
Diisononyl phthalate (DINP),,1,590836,28553-12-0,慢毒性危害,致癌性,高,QSAR模型 支持向量機 Polynomial核心,相對低,危害等級分類清楚。,,,,,SAS QSAR模型 支持向量機 Polynomial核心,高度/中度毒性,
Diisononyl phthalate (DINP),,1,590836,28553-12-0,慢毒性危害,致癌性,高,QSAR模型 支持向量機 RBF核心,相對低,危害等級分類清楚。,,,,,SAS QSAR模型 支持向量機 RBF核心,高度/中度毒性,
Diisononyl phthalate (DINP),,1,590836,28553-12-0,慢毒性危害,致癌性,低,QSAR Toolbox: QSAR,相對低,危害等級分類清楚。,,,,,translation missing: zh-TW.hazard_annotation.QSAR Toolbox: QSAR,低毒性,
Diisononyl phthalate (DINP),,1,590836,28553-12-0,慢毒性危害,致癌性,"",translation missing: zh-TW.list_name.Classification model: ToxTree,相對低,包含多種危害終點，危害等級分類模糊。,NA,所有,N,,"",高度/中度毒性,Negative for genotoxic carcinogenicity:YES; Negative for nongenotoxic carcinogenicity:NO; Potential S. typhimurium TA100 mutagen based on QSAR:NO; Potential carcinogen based on QSAR:NO
Diisononyl phthalate (DINP),,1,590836,28553-12-0,慢毒性危害,致突變性,低,美國環保署CompTox資料庫,相對高,包含多種危害終點，危害等級分類模糊。,,,,https://www.epa.gov/chemical-research/comptox-chemicals-dashboard,translation missing: zh-TW.hazard_annotation.US EPA CompTox,低毒性,
Diisononyl phthalate (DINP),,1,590836,28553-12-0,慢毒性危害,致突變性,低,QSAR模型 支持向量機 Polynomial核心,相對低,危害等級分類清楚。,,,,,translation missing: zh-TW.hazard_annotation.to_prec_che_wFG_mw1300_svm_poly.csv,輕度毒性,
Diisononyl phthalate (DINP),,1,590836,28553-12-0,慢毒性危害,致突變性,低,QSAR模型 支持向量機 RBF核心,相對低,危害等級分類清楚。,,,,,translation missing: zh-TW.hazard_annotation.to_prec_che_wFG_mw1300_svm_rbf.csv,輕度毒性,
Diisononyl phthalate (DINP),,1,590836,28553-12-0,慢毒性危害,致突變性,低,QSAR模型 決策樹 C5.0,相對低,危害等級分類清楚。,,,,,translation missing: zh-TW.hazard_annotation.to_prec_che_w_FG_mw1300_c5.csv,輕度毒性,
Diisononyl phthalate (DINP),,1,590836,28553-12-0,慢毒性危害,致突變性,低,QSAR模型 隨機森林,相對低,危害等級分類清楚。,,,,,translation missing: zh-TW.hazard_annotation.to_prec_che_w_FG_mw1300_rf.csv,輕度毒性,
Diisononyl phthalate (DINP),,1,590836,28553-12-0,慢毒性危害,生殖毒性,中,美國國家毒物計畫非癌症健康影響評估-繁殖或發育專著清單,相對高,危害等級分類清楚。,美國,所有,N,"The NIEHS Office of Health Assessment and Translation (OHAT) can be found at the first link. Reports and monographs from NTP studies (ongoing and completed) can be found at the second link.
http://www.niehs.nih.gov/research/atniehs/dntp/assoc/ohat/index.cfm
http://ntp.niehs.nih.gov/pubhealth/hat/noms/index.html",translation missing: zh-TW.hazard_annotation.Limited Evidence of No Adverse Effects – Reproductive or Some Evidence of No Adverse Effects – Reproductive,"",
Diisononyl phthalate (DINP),,1,590836,28553-12-0,慢毒性危害,生殖毒性,中,日本GHS,相對低,危害等級分類清楚。,日本,所有,Y,"The NITE Chemical Risk Information Platform (NITE-CHRIP) database can be used to search for GHS Classifications for chemicals individually. To retrieve a full list of CASRNs, ""check all the boxes"" in the ""GHS Classification Results by the Japanese Government"" section, which is a subsection under ""Chemical Hazard and Risk Information"".
http://www.nite.go.jp/en/chem/chrip/chrip_search/srhInput",生殖毒性危害第2級：H360Df 或 H361f 或 H361fd (生育能力、胎兒),"",
Diisononyl phthalate (DINP),,1,590836,28553-12-0,慢毒性危害,發育毒性,高,美國國家毒物計畫非癌症健康影響評估-繁殖或發育專著清單,相對高,危害等級分類清楚。,美國,所有,N,"The NIEHS Office of Health Assessment and Translation (OHAT) can be found at the first link. Reports and monographs from NTP studies (ongoing and completed) can be found at the second link.
http://www.niehs.nih.gov/research/atniehs/dntp/assoc/ohat/index.cfm
http://ntp.niehs.nih.gov/pubhealth/hat/noms/index.html",translation missing: zh-TW.hazard_annotation.Limited Evidence of Adverse Effects – Developmental or Some Evidence of Adverse Effects – Developmental,"",
Diisononyl phthalate (DINP),,1,590836,28553-12-0,慢毒性危害,發育毒性,中,日本GHS,相對低,危害等級分類清楚。,日本,所有,Y,"The NITE Chemical Risk Information Platform (NITE-CHRIP) database can be used to search for GHS Classifications for chemicals individually. To retrieve a full list of CASRNs, ""check all the boxes"" in the ""GHS Classification Results by the Japanese Government"" section, which is a subsection under ""Chemical Hazard and Risk Information"".
http://www.nite.go.jp/en/chem/chrip/chrip_search/srhInput",生殖毒性危害第2級：H360Fd 或 H361d 或 H361fd (生育能力、胎兒),"",
Diisononyl phthalate (DINP),,1,590836,28553-12-0,慢毒性危害,內分泌干擾,高,歐盟內分泌干擾物優先列表,相對低,包含多種危害終點，危害等級分類模糊。,歐盟,所有,Y,"List developed from four EU studies published between 1999 and 2007. Categorization results contained in 1) reports and 2) a consolidated Microsoft Access database at the link below.
http://ec.europa.eu/environment/chemicals/endocrine/strategy/substances_en.htm#priority_list",分類第一級或二級,"",
Diisononyl phthalate (DINP),,1,590836,28553-12-0,急毒性危害,急性毒性,高,美國環保署CompTox資料庫,相對高,包含多種危害終點，危害等級分類模糊。,,,,https://www.epa.gov/chemical-research/comptox-chemicals-dashboard,"","",
Diisononyl phthalate (DINP),,1,590836,28553-12-0,急毒性危害,急性毒性,高,美國環保署CompTox資料庫,相對高,包含多種危害終點，危害等級分類模糊。,,,,https://www.epa.gov/chemical-research/comptox-chemicals-dashboard,"","",
Diisononyl phthalate (DINP),,1,590836,28553-12-0,急毒性危害,急性毒性,非常高,美國環保署CompTox資料庫,相對高,包含多種危害終點，危害等級分類模糊。,,,,https://www.epa.gov/chemical-research/comptox-chemicals-dashboard,"","",
Diisononyl phthalate (DINP),,1,590836,28553-12-0,急毒性危害,急性毒性,高,美國環保署CompTox資料庫,相對高,包含多種危害終點，危害等級分類模糊。,,,,https://www.epa.gov/chemical-research/comptox-chemicals-dashboard,"","",
Diisononyl phthalate (DINP),,1,590836,28553-12-0,急毒性危害,急性毒性,非常高,美國環保署CompTox資料庫,相對高,包含多種危害終點，危害等級分類模糊。,,,,https://www.epa.gov/chemical-research/comptox-chemicals-dashboard,"","",
Diisononyl phthalate (DINP),,1,590836,28553-12-0,急毒性危害,急性毒性,高,美國環保署CompTox資料庫,相對高,包含多種危害終點，危害等級分類模糊。,,,,https://www.epa.gov/chemical-research/comptox-chemicals-dashboard,"","",
Diisononyl phthalate (DINP),,1,590836,28553-12-0,急毒性危害,急性毒性,高,美國環保署CompTox資料庫,相對高,包含多種危害終點，危害等級分類模糊。,,,,https://www.epa.gov/chemical-research/comptox-chemicals-dashboard,"","",
Diisononyl phthalate (DINP),,1,590836,28553-12-0,急毒性危害,急性毒性,非常高,美國環保署CompTox資料庫,相對高,包含多種危害終點，危害等級分類模糊。,,,,https://www.epa.gov/chemical-research/comptox-chemicals-dashboard,"","",
Diisononyl phthalate (DINP),,1,590836,28553-12-0,急毒性危害,急性毒性,高,美國環保署CompTox資料庫,相對高,包含多種危害終點，危害等級分類模糊。,,,,https://www.epa.gov/chemical-research/comptox-chemicals-dashboard,"","",
Diisononyl phthalate (DINP),,1,590836,28553-12-0,急毒性危害,急性毒性,非常高,美國環保署CompTox資料庫,相對高,包含多種危害終點，危害等級分類模糊。,,,,https://www.epa.gov/chemical-research/comptox-chemicals-dashboard,"","",
Diisononyl phthalate (DINP),,1,590836,28553-12-0,急毒性危害,皮膚致敏 - 重複劑量,"",translation missing: zh-TW.list_name.QSAR Toolbox: Read-Across,相對低,包含多種危害終點，危害等級分類模糊。,NA,所有,N,,"","",Human Health Hazards / Sensitisation / EC3: R: Negative
Diisononyl phthalate (DINP),,1,590836,28553-12-0,急毒性危害,皮膚致敏 - 重複劑量,"",translation missing: zh-TW.list_name.QSAR Toolbox: Read-Across,相對低,包含多種危害終點，危害等級分類模糊。,NA,所有,N,,"","",Human Health Hazards / Sensitisation / EC3 <OR> S M W N <OR> Skin sensitisation: 
