化學物名稱,中文名稱,風險等級,PubChem CID,CAS No.,危害組別,危害名稱,危害等級,資料來源,可信度,危害分類是否清楚,適用地區,適用產業,是否具強制性？,清單連結,註解,額外註解,預測值,Summary,Generated_Text
Dichlorodifluoromethane,,1,6391,75-71-8,慢毒性危害,致癌性,高,QSAR模型 決策樹 C5.0,相對低,危害等級分類清楚。,,,,,SAS QSAR模型 決策樹 C5.0,高度/中度毒性,,,"二氯二氟甲烷（Dichlorodifluoromethane），CAS 編號為 75-71-8，風險等級為 1，PubChem CID 為 6391。
該物質屬於慢毒性危害，主要的危害為致癌性，危害等級為高。根據 QSAR 模型決策樹 C5.0 的資料來源，可信度相對較低，但危害等級分類清楚。
此物質的適用地區與適用產業未明確記載，且是否具強制性要求也未明確說明。
該物質的相關清單與連結未提供，但根據 SAS QSAR 模型決策樹 C5.0 的資料，該物質被列為高度或中度毒性。
此資料的額外註解與預測值未提供。"
Dichlorodifluoromethane,,1,6391,75-71-8,慢毒性危害,致癌性,高,QSAR模型 隨機森林,相對低,危害等級分類清楚。,,,,,SAS QSAR模型 隨機森林,高度/中度毒性,,,"二氯二氟甲烷（Dichlorodifluoromethane），CAS 編號為 75-71-8，風險等級為 1，PubChem CID 為 6391。
該物質屬於慢毒性危害，主要的危害為致癌性，危害等級為高。根據 QSAR 模型隨機森林的資料來源，可信度相對較低，但危害等級分類清楚。
此物質的適用地區和適用產業未明確記載，且是否具強制性要求也未明確說明。
該物質的危害分類屬於高度或中度毒性，相關資料可參考 SAS QSAR 模型隨機森林的研究結果。"
Dichlorodifluoromethane,,1,6391,75-71-8,慢毒性危害,致癌性,高,QSAR模型 支持向量機 Polynomial核心,相對低,危害等級分類清楚。,,,,,SAS QSAR模型 支持向量機 Polynomial核心,高度/中度毒性,,,"二氯二氟甲烷（Dichlorodifluoromethane），CAS 編號為 75-71-8，風險等級為 1，PubChem CID 為 6391。
該物質屬於慢毒性危害，主要的危害為致癌性，危害等級為高。根據 QSAR 模型支持向量機 Polynomial 核心的資料來源，可信度相對較低，但危害等級分類清楚。
此物質的適用地區與適用產業未明確記載，且是否具強制性要求也未明確說明。
相關清單與連結未提供，但根據 SAS QSAR 模型支持向量機 Polynomial 核心的註解，該物質具有高度或中度毒性。此資料的額外註解與預測值未提供。"
Dichlorodifluoromethane,,1,6391,75-71-8,慢毒性危害,致癌性,低,QSAR模型 支持向量機 RBF核心,相對低,危害等級分類清楚。,,,,,SAS QSAR模型 支持向量機 RBF核心,輕度毒性,,,"二氯二氟甲烷（Dichlorodifluoromethane），CAS 編號為 75-71-8，風險等級為 1，PubChem CID 為 6391。
該物質屬於慢毒性危害，主要的危害為致癌性，危害等級為低。根據 QSAR 模型（支持向量機 RBF 核心）的資料來源，可信度相對較低，但危害等級分類清楚。
此物質的適用地區與適用產業未明確記載，且是否具強制性要求也未明確說明。
相關清單與更多資訊可參考 SAS QSAR 模型（支持向量機 RBF 核心），該模型顯示此物質具有輕度毒性。"
Dichlorodifluoromethane,,1,6391,75-71-8,慢毒性危害,致癌性,中,US EPA OncgLogic,相對低,危害等級分類清楚。,,,,,translation missing: zh-TW.hazard_annotation.US EPA OncgLogic,中度毒性,,,"二氯二氟甲烷（Dichlorodifluoromethane），CAS 編號為 75-71-8，風險等級為 1，PubChem CID 為 6391。
該物質屬於慢毒性危害，主要的危害為致癌性，危害等級為中。根據美國環保署（US EPA）OncgLogic 的資料來源，可信度相對較低，且危害等級分類清楚。
此物質的危害適用地區與產業未明確記載，且是否具強制性要求也未明確說明。
相關清單或資料可通過以下連結查閱：translation missing: zh-TW.hazard_annotation.US EPA OncgLogic。該物質被認為具有中度毒性。"
Dichlorodifluoromethane,,1,6391,75-71-8,慢毒性危害,致癌性,,translation missing: zh-TW.list_name.US OSHA - TRI Carcinogens,相對低,危害等級分類清楚。,美國,所有,Y,https://www.epa.gov/system/files/documents/2023-01/Toxics%20Release%20Inventory%20Basis%20of%20OSHA%20Carcinogens.pdf,,,Toxics Release Inventory (TRI) Program,,"二氯二氟甲烷（Dichlorodifluoromethane），CAS 編號為 75-71-8，風險等級為 1，PubChem CID 為 6391。
該物質屬於慢毒性危害，主要的危害為致癌性。根據美國職業安全與健康管理局（US OSHA）毒性釋放清單（TRI Carcinogens），該資料來源的可信度相對較低，但危害等級分類清楚。
此危害適用於美國地區，並影響所有產業。
該物質在美國 OSHA 的毒性釋放清單中列出，該清單包含致癌性物質，且相關 CAS 編號記載於該清單中。該法規在美國地區具有強制性要求，相關清單可通過以下連結查閱：Toxics Release Inventory (TRI) Program。此物質的危害分類屬於第一級或第二級。"
Dichlorodifluoromethane,,1,6391,75-71-8,慢毒性危害,致癌性,,translation missing: zh-TW.list_name.Classification model: ToxTree,相對低,包含多種危害終點，危害等級分類模糊。,,所有,N,,,輕度毒性,Negative for genotoxic carcinogenicity:YES; Negative for nongenotoxic carcinogenicity:YES; Potential S. typhimurium TA100 mutagen based on QSAR:NO; Potential carcinogen based on QSAR:NO,,"二氯二氟甲烷（Dichlorodifluoromethane），CAS 編號為 75-71-8，風險等級為 1，PubChem CID 為 6391。
該物質屬於慢毒性危害，主要的危害為致癌性，危害等級未明確標示。根據 ToxTree 模型的分類，該資料來源的可信度相對較低，且包含多種危害終點，危害等級分類模糊。
此物質的危害適用於所有地區與產業。
根據 ToxTree 模型的預測，二氯二氟甲烷對基因毒性致癌性和非基因毒性致癌性均為陰性，且基於 QSAR（定量結構-活性關係）的預測，該物質對 S. typhimurium TA100 的致突變性和潛在致癌性均為陰性。
此清單不具強制性。"
Dichlorodifluoromethane,,1,6391,75-71-8,慢毒性危害,致突變性,低,美國環保署CompTox資料庫,相對高,包含多種危害終點，危害等級分類模糊。,,,,https://www.epa.gov/chemical-research/comptox-chemicals-dashboard,translation missing: zh-TW.hazard_annotation.US EPA CompTox,低毒性,,,"二氯二氟甲烷（Dichlorodifluoromethane），CAS 編號為 75-71-8，風險等級為 1，PubChem CID 為 6391。
該物質屬於慢毒性危害，主要的危害為致突變性，危害等級為低。根據美國環保署CompTox資料庫，該資料來源的可信度相對較高，但包含多種危害終點，危害等級分類模糊。
此物質的危害適用地區與產業未明確記載。
相關清單可通過以下連結查閱：美國環保署CompTox化學物質儀表板。該清單中包含多種化學物質的詳細資料，並提供相關的低毒性註解。
此清單不具強制性要求。"
Dichlorodifluoromethane,,1,6391,75-71-8,慢毒性危害,致突變性,高,QSAR模型 支持向量機 Polynomial核心,相對低,危害等級分類清楚。,,,,,translation missing: zh-TW.hazard_annotation.to_prec_che_wFG_mw1300_svm_poly.csv,高度/中度毒性,,,"二氯二氟甲烷（Dichlorodifluoromethane），CAS 編號為 75-71-8，風險等級為 1，PubChem CID 為 6391。
該物質屬於慢毒性危害，主要的危害為致突變性，危害等級為高。根據 QSAR 模型中的支持向量機 Polynomial 核心的資料來源，可信度相對較低，但危害等級分類清楚。
此物質的適用地區與適用產業未明確記載，且是否具強制性要求也未明確說明。
相關清單與資料可通過以下連結查閱：translation missing: zh-TW.hazard_annotation.to_prec_che_wFG_mw1300_svm_poly.csv。該物質被分類為高度或中度毒性。"
Dichlorodifluoromethane,,1,6391,75-71-8,慢毒性危害,致突變性,高,QSAR模型 支持向量機 RBF核心,相對低,危害等級分類清楚。,,,,,translation missing: zh-TW.hazard_annotation.to_prec_che_wFG_mw1300_svm_rbf.csv,高度/中度毒性,,,"二氯二氟甲烷（Dichlorodifluoromethane），CAS 編號為 75-71-8，風險等級為 1，PubChem CID 為 6391。
該物質屬於慢毒性危害，主要的危害為致突變性，危害等級為高。根據 QSAR 模型支持向量機 RBF 核心的資料來源，可信度相對較低，但危害等級分類清楚。
此物質的適用地區與適用產業未明確記載，且是否具強制性要求也未明確說明。
相關清單與資料可通過以下連結查閱：translation missing: zh-TW.hazard_annotation.to_prec_che_wFG_mw1300_svm_rbf.csv。該物質被註解為高度/中度毒性。"
