化學物名稱,中文名稱,風險等級,PubChem CID,CAS No.,危害組別,危害名稱,危害等級,資料來源,可信度,危害分類是否清楚,適用地區,適用產業,是否具強制性？,清單連結,註解,額外註解,預測值,Summary,Generated_Text
Hexabromocyclododecane (HBCD),,1,18529,3194-55-6,慢毒性危害,致癌性,高,QSAR模型 決策樹 C5.0,相對低,危害等級分類清楚。,,,,,SAS QSAR模型 決策樹 C5.0,高度/中度毒性,,,"Hexabromocyclododecane (HBCD)，CAS 編號為 3194-55-6，風險等級為 1，PubChem CID 為 18529。
該物質屬於慢毒性危害，主要的危害為致癌性，危害等級為高。根據 QSAR 模型決策樹 C5.0 的資料來源，可信度相對較低，但危害等級分類清楚。
目前沒有明確指出此危害適用的地區與產業，且是否具強制性也未明確說明。
該物質的相關資料可參考 SAS QSAR 模型決策樹 C5.0，該模型指出此物質具有高度或中度毒性。"
Hexabromocyclododecane (HBCD),,1,18529,3194-55-6,慢毒性危害,致癌性,高,QSAR模型 隨機森林,相對低,危害等級分類清楚。,,,,,SAS QSAR模型 隨機森林,高度/中度毒性,,,"Hexabromocyclododecane（HBCD），CAS 編號為 3194-55-6，風險等級為 1，PubChem CID 為 18529。
該物質屬於慢毒性危害，主要的危害為致癌性，危害等級為高。根據 QSAR 模型隨機森林的資料來源，可信度相對較低，但危害等級分類清楚。
此物質的適用地區和適用產業未明確記載，且是否具強制性要求也未明確說明。
相關清單或法規連結未提供，但根據 SAS QSAR 模型隨機森林的預測，該物質具有高度或中度毒性。"
Hexabromocyclododecane (HBCD),,1,18529,3194-55-6,慢毒性危害,致癌性,高,QSAR模型 支持向量機 Polynomial核心,相對低,危害等級分類清楚。,,,,,SAS QSAR模型 支持向量機 Polynomial核心,高度/中度毒性,,,"Hexabromocyclododecane (HBCD)，CAS 編號為 3194-55-6，風險等級為 1，PubChem CID 為 18529。
該物質屬於慢毒性危害，主要的危害為致癌性，危害等級為高。根據 QSAR 模型支持向量機 Polynomial 核心的資料來源，可信度相對較低，但危害等級分類清楚。
此物質的適用地區與適用產業未明確記載，且是否具強制性要求也未明確說明。
相關清單與法規連結未提供，僅註明 SAS QSAR 模型支持向量機 Polynomial 核心，並指出該物質具有高度或中度毒性。額外註解與預測值未提供。"
Hexabromocyclododecane (HBCD),,1,18529,3194-55-6,慢毒性危害,致癌性,高,QSAR模型 支持向量機 RBF核心,相對低,危害等級分類清楚。,,,,,SAS QSAR模型 支持向量機 RBF核心,高度/中度毒性,,,"Hexabromocyclododecane (HBCD)，CAS 編號為 3194-55-6，風險等級為 1，PubChem CID 為 18529。
該物質屬於慢毒性危害，主要的危害為致癌性，危害等級為高。根據 QSAR模型 支持向量機 RBF核心的資料來源，可信度相對較低，但危害等級分類清楚。
目前沒有明確指出該危害適用的地區與產業，且是否具強制性也未明確說明。
該物質的相關清單與資料可通過 SAS QSAR模型 支持向量機 RBF核心查閱，該模型顯示該物質具有高度或中度毒性。
此資料的額外註解為「高度/中度毒性」，但未提供具體的預測值。"
Hexabromocyclododecane (HBCD),,1,18529,3194-55-6,慢毒性危害,致癌性,,translation missing: zh-TW.list_name.US OSHA - TRI Carcinogens,相對低,危害等級分類清楚。,美國,所有,Y,https://www.epa.gov/system/files/documents/2023-01/Toxics%20Release%20Inventory%20Basis%20of%20OSHA%20Carcinogens.pdf,,,Toxics Release Inventory (TRI) Program,,"Hexabromocyclododecane (HBCD)，CAS 編號為 3194-55-6，風險等級為 1，PubChem CID 為 18529。
該物質屬於慢毒性危害，主要的危害為致癌性，危害等級未明確標示。根據美國職業安全與健康管理局（US OSHA）毒性釋放清單（TRI Carcinogens），該資料來源的可信度相對較低，但危害等級分類清楚。
此危害適用於美國地區，並影響所有產業。
該物質在美國 OSHA 的毒性釋放清單中列出，該清單包含致癌性物質，並會隨著法規修訂進行更新。
該法規在美國地區具有強制性要求，相關清單可通過以下連結查閱：[Toxics Release Inventory (TRI) Program](https://www.epa.gov/system/files/documents/2023-01/Toxics%20Release%20Inventory%20Basis%20of%20OSHA%20Carcinogens.pdf)。此物質的危害分類屬於第一級或第二級。"
Hexabromocyclododecane (HBCD),,1,18529,3194-55-6,慢毒性危害,致癌性,,translation missing: zh-TW.list_name.Classification model: ToxTree,相對低,包含多種危害終點，危害等級分類模糊。,,所有,N,,,高度/中度毒性,Negative for genotoxic carcinogenicity:YES; Negative for nongenotoxic carcinogenicity:NO; Potential S. typhimurium TA100 mutagen based on QSAR:NO; Potential carcinogen based on QSAR:NO,,"Hexabromocyclododecane (HBCD)，CAS 編號為 3194-55-6，風險等級為 1，PubChem CID 為 18529。
該物質屬於慢毒性危害，主要的危害為致癌性，危害等級未明確。根據 ToxTree 分類模型的資料來源，可信度相對較低，且危害等級分類模糊。
此危害適用於所有地區與產業。
根據 ToxTree 模型的預測，HBCD 被認為具有高度或中度毒性，但在基因毒性致癌性測試中為陰性，非基因毒性致癌性測試中為陰性，且基於 QSAR 的預測顯示對 S. typhimurium TA100 的致突變性為陰性，對致癌性的預測也為陰性。
該資料來源不具強制性要求，且未提供相關清單連結。"
Hexabromocyclododecane (HBCD),,1,18529,3194-55-6,慢毒性危害,致突變性,高,美國環保署CompTox資料庫,相對高,包含多種危害終點，危害等級分類模糊。,,,,https://www.epa.gov/chemical-research/comptox-chemicals-dashboard,translation missing: zh-TW.hazard_annotation.US EPA CompTox,具毒性,,,"Hexabromocyclododecane（HBCD），CAS 編號為 3194-55-6，風險等級為 1，PubChem CID 為 18529。
該物質屬於慢毒性危害，主要的危害為致突變性，危害等級為高。根據美國環保署 CompTox 資料庫的資料來源，可信度相對較高，但包含多種危害終點，危害等級分類模糊。
此物質的危害適用地區與產業未明確記載。
相關清單可通過以下連結查閱：美國環保署 CompTox 化學物質儀表板。該資料庫提供了關於 HBCD 的詳細資訊，並且具毒性。
此清單不具強制性要求。"
Hexabromocyclododecane (HBCD),,1,18529,3194-55-6,慢毒性危害,致突變性,高,QSAR模型 支持向量機 Polynomial核心,相對低,危害等級分類清楚。,,,,,translation missing: zh-TW.hazard_annotation.to_prec_che_wFG_mw1300_svm_poly.csv,高度/中度毒性,,,"Hexabromocyclododecane (HBCD)，CAS 編號為 3194-55-6，風險等級為 1，PubChem CID 為 18529。
該物質屬於慢毒性危害，主要的危害為致突變性，危害等級為高。根據 QSAR 模型支持向量機 Polynomial 核心的資料來源，可信度相對較低，但危害等級分類清楚。
此物質的危害分類適用於全球所有地區與產業，但具體適用地區和產業未明確記載。
目前沒有強制性要求的清單連結或相關法規註解。
該物質被認為具有高度或中度毒性，相關資料可通過以下連結查閱：translation missing: zh-TW.hazard_annotation.to_prec_che_wFG_mw1300_svm_poly.csv。"
Hexabromocyclododecane (HBCD),,1,18529,3194-55-6,慢毒性危害,致突變性,高,QSAR模型 支持向量機 RBF核心,相對低,危害等級分類清楚。,,,,,translation missing: zh-TW.hazard_annotation.to_prec_che_wFG_mw1300_svm_rbf.csv,高度/中度毒性,,,"Hexabromocyclododecane (HBCD)，CAS 編號為 3194-55-6，風險等級為 1，PubChem CID 為 18529。
該物質屬於慢毒性危害，主要的危害為致突變性，危害等級為高。根據 QSAR 模型支持向量機 RBF 核心的資料來源，可信度相對較低，但危害等級分類清楚。
目前沒有明確的適用地區與產業資訊，且是否具強制性要求也未明確記載。
相關清單與資料可通過以下連結查閱：translation missing: zh-TW.hazard_annotation.to_prec_che_wFG_mw1300_svm_rbf.csv。該物質被認為具有高度或中度毒性。"
Hexabromocyclododecane (HBCD),,1,18529,3194-55-6,慢毒性危害,致突變性,高,QSAR模型 決策樹 C5.0,相對低,危害等級分類清楚。,,,,,translation missing: zh-TW.hazard_annotation.to_prec_che_w_FG_mw1300_c5.csv,高度/中度毒性,,,"Hexabromocyclododecane (HBCD)，CAS 編號為 3194-55-6，風險等級為 1，PubChem CID 為 18529。
該物質屬於慢毒性危害，主要的危害為致突變性，危害等級為高。根據 QSAR 模型決策樹 C5.0 的資料來源，可信度相對較低，但危害等級分類清楚。
此物質的危害適用地區與產業未明確記載，且是否具強制性要求也未明確說明。
相關清單可通過以下連結查閱：translation missing: zh-TW.hazard_annotation.to_prec_che_w_FG_mw1300_c5.csv。該物質被註解為高度/中度毒性。"
