化學物名稱,中文名稱,風險等級,PubChem CID,CAS No.,危害組別,危害名稱,危害等級,資料來源,可信度,危害分類是否清楚,適用地區,適用產業,是否具強制性？,清單連結,註解,額外註解,預測值,Summary,Generated_Text
Methylene Chloride,,1,6344,75-09-2,慢毒性危害,致癌性,中,歐盟GHS,相對高,危害等級分類清楚。,歐盟,C大類「製造業」,Y,"ECHA provides an updated excel list of all harmonized classifications. Access the full list of CASRNs with associated harmonized GHS classifications using the first link below (Export search results function is at the bottom of the page).
https://echa.europa.eu/information-on-chemicals/cl-inventory-database
https://echa.europa.eu/information-on-chemicals/annex-vi-to-clp",致癌性危害第2級：H351,,,,"二氯甲烷（Methylene Chloride），CAS 編號為 75-09-2，風險等級為 1，PubChem CID 為 6344。

該物質屬於慢毒性危害，主要的危害為致癌性，危害等級為中。根據歐盟 GHS 的資料來源，可信度相對較高，且危害等級分類清楚。

此危害適用於歐盟地區，主要影響製造業（C 類）。該物質的危害等級被列為第 2 級的致癌性危害，並對應 H351。

相關的歐盟 GHS 調和分類的最新清單，可通過以下連結查閱：化學物質資訊資料庫，以及 CLP 法規附錄 VI。這些清單會定期更新，並提供所有相關 CAS 編號與調和分類的 Excel 清單下載功能。

該法規在歐盟地區具有強制性要求，相關清單可通過以下連結查閱：
- [ECHA 化學物質資訊資料庫](https://echa.europa.eu/information-on-chemicals/cl-inventory-database)
- [CLP 法規附錄 VI](https://echa.europa.eu/information-on-chemicals/annex-vi-to-clp)

此物質的危害分類屬於第 2 級。"
Methylene Chloride,,1,6344,75-09-2,慢毒性危害,致癌性,高,國際癌症研究機構清單,相對高,危害等級分類清楚。,全球,所有,N,"Lists provided at the link below reference the relevant IARC monograph volume or supplement. Substances may be listed by CAS number, name or collectively as a substance group.
http://monographs.iarc.fr/ENG/Classification/index.php",第1類：已知人類致癌物 或 第2a類：極可能為人體致癌物,,,,"二氯甲烷（Methylene Chloride），CAS 編號為 75-09-2，風險等級為 1，PubChem CID 為 6344。

該物質屬於慢毒性危害，主要的危害為致癌性，危害等級為高。根據國際癌症研究機構（IARC）清單，該資料來源的可信度相對較高，且危害等級分類清楚。

此物質的危害適用於全球所有地區與產業。

根據 IARC 分類，二氯甲烷被歸類為第 1 類（已知人類致癌物）或第 2A 類（極可能為人體致癌物）。相關清單可通過以下連結查閱：IARC 分類清單。清單中會列出相關 IARC 專題研究的卷冊或補充資料，物質可按 CAS 編號、名稱或作為物質群體列出。此清單不具強制性。

相關清單可通過以下連結查閱：[IARC 分類清單](http://monographs.iarc.fr/ENG/Classification/index.php)。"
Methylene Chloride,,1,6344,75-09-2,慢毒性危害,致癌性,高,美國環保署整合性風險資料系統,相對高,危害等級分類清楚。,美國,所有,N,"""US EPA Integrated Risk Information System home page (first link).
Advanced search by substance ID (second link).""
http://www.epa.gov/ncea/iris/search_human.htm 
https://iris.epa.gov/AdvancedSearch/ 
https://www.epa.gov/iris ",已知或很可能有毒性,,,,"二氯甲烷（Methylene Chloride），CAS 編號為 75-09-2，風險等級為 1，PubChem CID 為 6344。
該物質屬於慢毒性危害，主要的危害為致癌性，危害等級為高。根據美國環保署整合性風險資料系統（US EPA Integrated Risk Information System），該資料來源的可信度相對較高，且危害等級分類清楚。
此危害適用於美國地區，並影響所有產業。
該物質在美國環保署的整合性風險資料系統中列出，相關清單可通過以下連結查閱：US EPA Integrated Risk Information System home page，Advanced search by substance ID。
這些清單會定期更新，並提供所有相關 CAS 編號與調和分類的詳細資料。
此清單不具強制性要求，但已知或很可能有毒性。"
Methylene Chloride,,1,6344,75-09-2,慢毒性危害,致癌性,高,美國衛生與公眾服務部-第十四次致癌物報告,相對高,危害等級分類清楚。,美國,所有,Y,"The Report on Carcinogens (RoC) is prepared by the National Toxicology Program (NTP) on behalf of the Secretary, Health and Human Services (description at the first link). The latest RoC edition is available at the second link.
http://ntp.niehs.nih.gov/pubhealth/roc/index.html
http://ntp.niehs.nih.gov/pubhealth/roc/roc12/index.html",合理預期的人類致癌物,,,,"甲烷氯化物（Methylene Chloride），CAS 編號為 75-09-2，風險等級為 1，PubChem CID 為 6344。

該物質屬於慢毒性危害，主要的危害為致癌性，危害等級為高。根據美國衛生與公眾服務部發布的第十四次致癌物報告，該資料來源的可信度相對較高，且危害等級分類清楚。

此危害適用於美國地區，並影響所有產業。根據報告，甲烷氯化物被合理預期為人類致癌物。該報告由國家毒理學計劃（NTP）代表衛生與公眾服務部長編制，最新的致癌物報告版本可通過以下連結查閱：
- [第十四次致癌物報告](http://ntp.niehs.nih.gov/pubhealth/roc/index.html)
- [第十二次致癌物報告](http://ntp.niehs.nih.gov/pubhealth/roc/roc12/index.html)

該法規在美國地區具有強制性要求，並且相關清單會定期更新，提供所有相關 CAS 編號與調和分類的詳細資料。"
Methylene Chloride,,1,6344,75-09-2,慢毒性危害,致癌性,高,美國疾病控制中心 - 職業致癌物清單,相對高,危害等級分類清楚。,美國,所有 (workplace safety),N,"NIOSH's carcinogen policy is described at the first link below. The current occupational carcinogen list is at the second link
http://www.cdc.gov/niosh/topics/cancer/policy.html
http://www.cdc.gov/niosh/topics/cancer/npotocca.html",職業性致癌物,,,,"甲烷氯化物（Methylene Chloride），CAS 編號為 75-09-2，風險等級為 1，PubChem CID 為 6344。
該物質屬於慢毒性危害，主要的危害為致癌性，危害等級為高。根據美國疾病控制中心（CDC）職業致癌物清單，該資料來源的可信度相對較高，且危害等級分類清楚。
此危害適用於美國地區，主要影響所有需要考量工作場所安全的產業。
根據 CDC 的職業致癌物政策，甲烷氯化物被列為職業性致癌物。相關清單可通過以下連結查閱：CDC 職業致癌物政策，以及當前的職業致癌物清單。這些清單會定期更新，並提供所有相關 CAS 編號與分類的詳細資訊。
此清單不具強制性要求。"
Methylene Chloride,,1,6344,75-09-2,慢毒性危害,致癌性,高,美國加州第65號提案,相對高,危害等級分類清楚。,加利福尼亞州 美國,所有,Y,"Prop 65 descriptive information is at the first link below. The second link provides the current list of substances.
http://oehha.ca.gov/proposition-65/about-proposition-65
http://oehha.ca.gov/proposition-65/proposition-65-list",Carcinogen – specific to chemical form or exposure route,,,,"二氯甲烷（Methylene Chloride），CAS 編號為 75-09-2，風險等級為 1，PubChem CID 為 6344。
該物質屬於慢毒性危害，主要的危害為致癌性，危害等級為高。根據美國加州第65號提案的資料來源，可信度相對較高，且危害等級分類清楚。
此危害適用於加利福尼亞州，美國，並影響所有產業。
根據加州第65號提案，二氯甲烷被列為致癌物，且該提案具有強制性要求。相關清單可通過以下連結查閱：Prop 65 descriptive information is at the first link below. The second link provides the current list of substances.，http://oehha.ca.gov/proposition-65/about-proposition-65，http://oehha.ca.gov/proposition-65/proposition-65-list。
該清單會定期更新，並提供所有相關 CAS 編號與調和分類的資料下載功能。此物質的危害分類屬於致癌性，且具體針對化學形式或暴露途徑。"
Methylene Chloride,,1,6344,75-09-2,慢毒性危害,致癌性,中,德國最大工作場所濃度清單,相對高,包含多種危害終點，危害等級分類模糊。,德國,所有 (workplace safety),Y,"The German Research Foundation’s (DFG) Permanent Senate Commission for the Investigation of Health Hazards of Chemical Compounds in the Work Area (“MAK Commission”) is at the first link. MAK Commission classification categories are available via PDFs at Wiley (second link, updated annually):
http://www.dfg.de/en/dfg_profile/statutory_bodies/senate/health_hazards/index.html
http://onlinelibrary.wiley.com/book/10.1002/3527600418/homepage/access_to_the_list_of_mak_and_bat_values.htm",Carcinogen Group 3A or 3B or 4 or 5,,,,"二氯甲烷（Methylene Chloride），CAS 編號為 75-09-2，風險等級為 1，PubChem CID 為 6344。
該物質屬於慢毒性危害，主要的危害為致癌性，危害等級為中。根據德國最大工作場所濃度清單的資料來源，可信度相對較高，但包含多種危害終點，危害等級分類模糊。
此危害適用於德國地區，主要影響所有工作場所安全（workplace safety）。
該物質在德國最大工作場所濃度清單中列出，該清單由德國研究基金會（DFG）的永久參議會委員會（MAK Commission）進行調查，並每年在 Wiley 上更新。相關清單可通過以下連結查閱：
- [DFG 健康危害調查委員會](http://www.dfg.de/en/dfg_profile/statutory_bodies/senate/health_hazards/index.html)
- [MAK 和 BAT 值清單](http://onlinelibrary.wiley.com/book/10.1002/3527600418/homepage/access_to_the_list_of_mak_and_bat_values.htm)

該物質的危害分類屬於 Carcinogen Group 3A、3B、4 或 5，並且在德國地區具有強制性要求。"
Methylene Chloride,,1,6344,75-09-2,慢毒性危害,致癌性,高,加拿大工作場所有害物質訊息系統 2015 分類清單,相對低,危害等級分類清楚。,加拿大,所有,Y,"Description of the WHMIS is available at the first link below. The Quebec CSST site (second link) contains a list of controlled products, also available by CAS number and as a txt or PDF file.
http://www.hc-sc.gc.ca/ewh-semt/occup-travail/whmis-simdut/index-eng.php
http://www.csst.qc.ca/en/prevention/reptox/Pages/list-whmis-1988-cas-50-84.aspx",致癌性危害第1A或1B級：H350或H350i (吸入性),,,,"二氯甲烷（Methylene Chloride），CAS 編號為 75-09-2，風險等級為 1，PubChem CID 為 6344。

該物質屬於慢毒性危害，主要的危害為致癌性，危害等級為高。根據加拿大工作場所有害物質訊息系統（WHMIS）2015 分類清單，該資料來源的可信度相對較低，但危害等級分類清楚。

此危害適用於加拿大地區，並影響所有產業。根據 WHMIS 的分類，二氯甲烷被歸類為第 1A 或 1B 級的致癌性危害，並對應 H350 或 H350i（吸入性）。

該法規在加拿大地區具有強制性要求，相關清單可通過以下連結查閱：
1. [WHMIS 官方網站](http://www.hc-sc.gc.ca/ewh-semt/occup-travail/whmis-simdut/index-eng.php)
2. [魁北克 CSST 網站](http://www.csst.qc.ca/en/prevention/reptox/Pages/list-whmis-1988-cas-50-84.aspx)

這些清單會定期更新，並提供所有相關 CAS 編號與調和分類的 txt 或 PDF 文件下載功能。"
Methylene Chloride,,1,6344,75-09-2,慢毒性危害,致癌性,高,日本GHS,相對低,危害等級分類清楚。,日本,所有,Y,"The NITE Chemical Risk Information Platform (NITE-CHRIP) database can be used to search for GHS Classifications for chemicals individually. To retrieve a full list of CASRNs, ""check all the boxes"" in the ""GHS Classification Results by the Japanese Government"" section, which is a subsection under ""Chemical Hazard and Risk Information"".
http://www.nite.go.jp/en/chem/chrip/chrip_search/srhInput",致癌性危害第1A或1B級：H350或H350i (吸入性),,,,"二氯甲烷（Methylene Chloride），CAS 編號為 75-09-2，風險等級為 1，PubChem CID 為 6344。

該物質屬於慢毒性危害，主要的危害為致癌性，危害等級為高。根據日本 GHS 的資料來源，可信度相對較低，但危害等級分類清楚。

此危害適用於日本地區，並影響所有產業。該物質在日本 GHS 分類中被列為第 1A 或 1B 級的致癌性危害，並對應 H350 或 H350i（吸入性）。

相關的日本 GHS 調和分類的最新清單，可通過以下連結查閱：The NITE Chemical Risk Information Platform (NITE-CHRIP) database。該資料庫可用於單獨搜索化學物質的 GHS 分類，並可在 ""GHS Classification Results by the Japanese Government"" 部分中選擇所有選項以檢索完整的 CASRNs 清單。

此法規在日本地區具有強制性要求，相關清單可通過以下連結查閱：http://www.nite.go.jp/en/chem/chrip/chrip_search/srhInput。"
Methylene Chloride,,1,6344,75-09-2,慢毒性危害,致癌性,高,南韓GHS,相對低,危害等級分類清楚。,韓國,所有,Y,"The Korean National Chemicals Information System (NCiS) can be used to search for GHS Classifications for chemicals. GreenScreen List Translator only includes chemicals in 5 broad search categories: Phase-in substances subject to registration, Toxic Substances, Restricted Substances, Prohibited Substances, and Substances requiring preparation for accidents. Search each category, as a chemical may be on one list and not another.
http://ncis.nier.go.kr/en/main.do",致癌性危害第1A或1B級：H350或H350i (吸入性),,,,"甲烷氯化物（Methylene Chloride），CAS 編號為 75-09-2，風險等級為 1，PubChem CID 為 6344。
該物質屬於慢毒性危害，主要的危害為致癌性，危害等級為高。根據南韓 GHS 的資料來源，可信度相對較低，但危害等級分類清楚。
此危害適用於韓國地區，並影響所有產業。
根據南韓 GHS 的分類，甲烷氯化物被歸類為第 1A 或 1B 級的致癌性危害，並對應 H350 或 H350i（吸入性）。
相關的南韓 GHS 調和分類的最新清單，可通過以下連結查閱：The Korean National Chemicals Information System (NCiS)。該系統可用於搜索化學品的 GHS 分類，並包含五大類別的化學品：需註冊的階段性物質、有毒物質、受限制物質、禁止物質以及需準備事故應對的物質。每個類別都需單獨搜索，因為某些化學品可能只在其中一個清單中出現。
該法規在韓國地區具有強制性要求，相關清單可通過以下連結查閱：http://ncis.nier.go.kr/en/main.do。"
