化學物名稱,中文名稱,風險等級,PubChem CID,CAS No.,危害組別,危害名稱,危害等級,資料來源,可信度,危害分類是否清楚,適用地區,適用產業,是否具強制性？,清單連結,註解,額外註解,預測值,Summary,Generated_Text
"N,N-Dimethylformamide",,1,6228,68-12-2,慢毒性危害,致癌性,高,國際癌症研究機構清單,相對高,危害等級分類清楚。,全球,所有,N,"Lists provided at the link below reference the relevant IARC monograph volume or supplement. Substances may be listed by CAS number, name or collectively as a substance group.
http://monographs.iarc.fr/ENG/Classification/index.php",第1類：已知人類致癌物 或 第2a類：極可能為人體致癌物,,,,"N,N-二甲基甲醯胺（N,N-Dimethylformamide），CAS 編號為 68-12-2，風險等級為 1，PubChem CID 為 6228。
該物質屬於慢毒性危害，主要的危害為致癌性，危害等級為高。根據國際癌症研究機構（IARC）清單，該資料來源的可信度相對較高，且危害等級分類清楚。
此物質的危害適用於全球所有地區與產業。
根據 IARC 分類，N,N-二甲基甲醯胺被歸類為第 1 類（已知人類致癌物）或第 2A 類（極可能為人體致癌物）。相關清單可通過以下連結查閱：IARC 分類清單。清單中會列出相關 IARC 專題研究的卷冊或補充資料，物質可按 CAS 編號、名稱或作為物質群體列出。此清單不具強制性。"
"N,N-Dimethylformamide",,1,6228,68-12-2,慢毒性危害,致癌性,高,美國加州第65號提案,相對高,危害等級分類清楚。,加利福尼亞州 美國,所有,Y,"Prop 65 descriptive information is at the first link below. The second link provides the current list of substances.
http://oehha.ca.gov/proposition-65/about-proposition-65
http://oehha.ca.gov/proposition-65/proposition-65-list",致癌性,,,,"N,N-二甲基甲醯胺（N,N-Dimethylformamide），CAS 編號為 68-12-2，風險等級為 1，PubChem CID 為 6228。
該物質屬於慢毒性危害，主要的危害為致癌性，危害等級為高。根據美國加州第65號提案的資料來源，可信度相對較高，且危害等級分類清楚。
此危害適用於加利福尼亞州，美國，並影響所有產業。
該物質在加州第65號提案中列出，該清單包含致癌性物質，且相關 CAS 編號記載於提案中，並會隨著法規修訂進行更新。
該法規在加利福尼亞州具有強制性要求，相關清單可通過以下連結查閱：Prop 65 descriptive information is at the first link below. The second link provides the current list of substances.，此物質的危害分類屬於致癌性。

相關連結：
1. [Prop 65 descriptive information](http://oehha.ca.gov/proposition-65/about-proposition-65)
2. [Current list of substances](http://oehha.ca.gov/proposition-65/proposition-65-list)"
"N,N-Dimethylformamide",,1,6228,68-12-2,慢毒性危害,致癌性,中,德國最大工作場所濃度清單,相對高,包含多種危害終點，危害等級分類模糊。,德國,所有 (workplace safety),Y,"The German Research Foundation’s (DFG) Permanent Senate Commission for the Investigation of Health Hazards of Chemical Compounds in the Work Area (“MAK Commission”) is at the first link. MAK Commission classification categories are available via PDFs at Wiley (second link, updated annually):
http://www.dfg.de/en/dfg_profile/statutory_bodies/senate/health_hazards/index.html
http://onlinelibrary.wiley.com/book/10.1002/3527600418/homepage/access_to_the_list_of_mak_and_bat_values.htm",Carcinogen Group 3A or 3B or 4 or 5,,,,"N,N-二甲基甲醯胺（N,N-Dimethylformamide），CAS 編號為 68-12-2，風險等級為 1，PubChem CID 為 6228。
該物質屬於慢毒性危害，主要的危害為致癌性，危害等級為中。根據德國最大工作場所濃度清單，該資料來源的可信度相對較高，但包含多種危害終點，危害等級分類模糊。
此危害適用於德國地區，主要影響所有工作場所安全相關的產業。
該物質在德國最大工作場所濃度清單中列出，該清單由德國研究基金會（DFG）的永久參議院委員會負責調查工作區域內化學物質的健康危害（即 MAK 委員會）。MAK 委員會的分類類別可通過以下連結查閱，並且每年更新：
[DFG 官方網站](http://www.dfg.de/en/dfg_profile/statutory_bodies/senate/health_hazards/index.html)
[Wiley 在線圖書館](http://onlinelibrary.wiley.com/book/10.1002/3527600418/homepage/access_to_the_list_of_mak_and_bat_values.htm)
該物質的致癌性分類可能屬於 3A、3B、4 或 5 類。
此法規在德國地區具有強制性要求。"
"N,N-Dimethylformamide",,1,6228,68-12-2,慢毒性危害,致癌性,高,加拿大工作場所有害物質訊息系統 2015 分類清單,相對低,危害等級分類清楚。,加拿大,所有,Y,"Description of the WHMIS is available at the first link below. The Quebec CSST site (second link) contains a list of controlled products, also available by CAS number and as a txt or PDF file.
http://www.hc-sc.gc.ca/ewh-semt/occup-travail/whmis-simdut/index-eng.php
http://www.csst.qc.ca/en/prevention/reptox/Pages/list-whmis-1988-cas-50-84.aspx",致癌性危害第1A或1B級：H350或H350i (吸入性),,,,"N,N-二甲基甲醯胺（N,N-Dimethylformamide），CAS 編號為 68-12-2，風險等級為 1，PubChem CID 為 6228。

該物質屬於慢毒性危害，主要的危害為致癌性，危害等級為高。根據加拿大工作場所有害物質訊息系統 2015 分類清單，該資料來源的可信度相對較低，但危害等級分類清楚。

此危害適用於加拿大地區，並影響所有產業。該物質在加拿大工作場所有害物質訊息系統（WHMIS）中被列出，該清單包含致癌性危害第 1A 或 1B 級，並對應 H350 或 H350i（吸入性）。

該法規在加拿大地區具有強制性要求，相關清單可通過以下連結查閱：
- [WHMIS 說明](http://www.hc-sc.gc.ca/ewh-semt/occup-travail/whmis-simdut/index-eng.php)
- [Quebec CSST 受控產品清單](http://www.csst.qc.ca/en/prevention/reptox/Pages/list-whmis-1988-cas-50-84.aspx)

這些清單會定期更新，並提供所有相關 CAS 編號與調和分類的 txt 或 PDF 文件下載功能。"
"N,N-Dimethylformamide",,1,6228,68-12-2,慢毒性危害,致癌性,高,日本GHS,相對低,危害等級分類清楚。,日本,所有,Y,"The NITE Chemical Risk Information Platform (NITE-CHRIP) database can be used to search for GHS Classifications for chemicals individually. To retrieve a full list of CASRNs, ""check all the boxes"" in the ""GHS Classification Results by the Japanese Government"" section, which is a subsection under ""Chemical Hazard and Risk Information"".
http://www.nite.go.jp/en/chem/chrip/chrip_search/srhInput",致癌性危害第1A或1B級：H350或H350i (吸入性),,,,"N,N-二甲基甲醯胺（N,N-Dimethylformamide），CAS 編號為 68-12-2，風險等級為 1，PubChem CID 為 6228。

該物質屬於慢毒性危害，主要的危害為致癌性，危害等級為高。根據日本 GHS 的資料來源，可信度相對較低，但危害等級分類清楚。

此危害適用於日本地區，並影響所有產業。該物質在日本 GHS 分類中被列為第 1A 或 1B 級的致癌性危害，並對應 H350 或 H350i（吸入性）。

相關的日本 GHS 調和分類的最新清單，可通過以下連結查閱：The NITE Chemical Risk Information Platform (NITE-CHRIP) database。該資料庫可用於單獨搜索化學物質的 GHS 分類。要檢索完整的 CASRNs 清單，請在 ""GHS Classification Results by the Japanese Government"" 部分下的 ""Chemical Hazard and Risk Information"" 子部分中勾選所有框。

該法規在日本地區具有強制性要求，相關清單可通過以下連結查閱：http://www.nite.go.jp/en/chem/chrip/chrip_search/srhInput。此物質的危害分類屬於第 1A 或 1B 級的致癌性危害。"
"N,N-Dimethylformamide",,1,6228,68-12-2,慢毒性危害,致癌性,高,南韓GHS,相對低,危害等級分類清楚。,韓國,所有,Y,"The Korean National Chemicals Information System (NCiS) can be used to search for GHS Classifications for chemicals. GreenScreen List Translator only includes chemicals in 5 broad search categories: Phase-in substances subject to registration, Toxic Substances, Restricted Substances, Prohibited Substances, and Substances requiring preparation for accidents. Search each category, as a chemical may be on one list and not another.
http://ncis.nier.go.kr/en/main.do",致癌性危害第1A或1B級：H350或H350i (吸入性),,,,"N,N-二甲基甲醯胺（N,N-Dimethylformamide），CAS 編號為 68-12-2，風險等級為 1，PubChem CID 為 6228。

該物質屬於慢毒性危害，主要的危害為致癌性，危害等級為高。根據南韓 GHS 的資料來源，可信度相對較低，但危害等級分類清楚。

此危害適用於韓國地區，並影響所有產業。該物質在南韓 GHS 中被列為第 1A 或 1B 級的致癌性危害，並對應 H350 或 H350i（吸入性）。

相關的南韓 GHS 調和分類的最新清單，可通過以下連結查閱：The Korean National Chemicals Information System (NCiS)。該系統可用於搜索化學物質的 GHS 分類。GreenScreen List Translator 僅包含五大類搜索範疇中的化學物質：需註冊的過渡性物質、有毒物質、受限制物質、禁用物質，以及需準備應急措施的物質。每個範疇都需單獨搜索，因為某些化學物質可能只在其中一個清單中出現。

此法規在韓國地區具有強制性要求，相關清單可通過以下連結查閱：[NCiS 主頁](http://ncis.nier.go.kr/en/main.do)。"
"N,N-Dimethylformamide",,1,6228,68-12-2,慢毒性危害,致癌性,高,PubChem資料庫 聯合國GHS,相對低,危害等級分類清楚。,,,,https://ftp.ncbi.nlm.nih.gov/pubchem/Compound/Extras/,translation missing: zh-TW.hazard_annotation.H350,,,,"N,N-二甲基甲醯胺（N,N-Dimethylformamide），CAS 編號為 68-12-2，風險等級為 1，PubChem CID 為 6228。
該物質屬於慢毒性危害，主要的危害為致癌性，危害等級為高。根據 PubChem 資料庫與聯合國 GHS 的資料來源，可信度相對較低，但危害等級分類清楚。
此物質的危害適用地區與產業未明確記載，且是否具強制性要求也未明確說明。
相關清單可通過以下連結查閱：PubChem 資料庫，該清單包含相關的化學物質資訊與分類資料。額外註解為 translation missing: zh-TW.hazard_annotation.H350。"
"N,N-Dimethylformamide",,1,6228,68-12-2,慢毒性危害,致癌性,,translation missing: zh-TW.list_name.US OSHA - TRI Carcinogens,相對低,危害等級分類清楚。,美國,所有,Y,https://www.epa.gov/system/files/documents/2023-01/Toxics%20Release%20Inventory%20Basis%20of%20OSHA%20Carcinogens.pdf,,,Toxics Release Inventory (TRI) Program,,"N,N-二甲基甲醯胺（N,N-Dimethylformamide），CAS 編號為 68-12-2，風險等級為 1，PubChem CID 為 6228。
該物質屬於慢毒性危害，主要的危害為致癌性。根據美國職業安全與健康管理局（US OSHA）毒性釋放清單（TRI Carcinogens），該資料來源的可信度相對較低，但危害等級分類清楚。
此危害適用於美國地區，並影響所有產業。
該物質在美國 OSHA 的毒性釋放清單中列出，該清單包含致癌物質，且相關 CAS 編號記載於美國環保署（EPA）的毒性釋放清單中，並會隨著法規修訂進行更新。
該法規在美國地區具有強制性要求，相關清單可通過以下連結查閱：[毒性釋放清單](https://www.epa.gov/system/files/documents/2023-01/Toxics%20Release%20Inventory%20Basis%20of%20OSHA%20Carcinogens.pdf)。此物質的危害分類屬於第一級或第二級。"
"N,N-Dimethylformamide",,1,6228,68-12-2,慢毒性危害,致癌性,,translation missing: zh-TW.list_name.Classification model: ToxTree,相對低,包含多種危害終點，危害等級分類模糊。,,所有,N,,,輕度毒性,Negative for genotoxic carcinogenicity:YES; Negative for nongenotoxic carcinogenicity:YES; Potential S. typhimurium TA100 mutagen based on QSAR:NO; Potential carcinogen based on QSAR:NO,,"N,N-二甲基甲醯胺（N,N-Dimethylformamide），CAS 編號為 68-12-2，風險等級為 1，PubChem CID 為 6228。
該物質屬於慢毒性危害，主要的危害為致癌性，危害等級未明確標示。根據 ToxTree 分類模型的資料來源，該資料的可信度相對較低，且危害等級分類模糊。
此物質的危害分類包含多種危害終點，適用於所有地區與產業。
該物質不具強制性要求，相關清單連結未提供。根據預測值，該物質具有輕度毒性，並且在基因毒性致癌性和非基因毒性致癌性方面均為陰性。根據 QSAR 預測，該物質對 S. typhimurium TA100 的致突變性為陰性，且不被認為是潛在的致癌物。"
"N,N-Dimethylformamide",,1,6228,68-12-2,慢毒性危害,致突變性,中,日本GHS,相對低,危害等級分類清楚。,日本,所有,Y,"The NITE Chemical Risk Information Platform (NITE-CHRIP) database can be used to search for GHS Classifications for chemicals individually. To retrieve a full list of CASRNs, ""check all the boxes"" in the ""GHS Classification Results by the Japanese Government"" section, which is a subsection under ""Chemical Hazard and Risk Information"".
http://www.nite.go.jp/en/chem/chrip/chrip_search/srhInput",生殖細胞致突變性危害第2級：H341,,,,"N,N-二甲基甲醯胺（N,N-Dimethylformamide），CAS 編號為 68-12-2，風險等級為 1，PubChem CID 為 6228。
該物質屬於慢毒性危害，主要的危害為致突變性，危害等級為中。根據日本 GHS 的資料來源，可信度相對較低，且危害等級分類清楚。
此危害適用於日本地區，主要影響所有產業。
該物質在日本 GHS 中被列為生殖細胞致突變性危害第 2 級，對應 H341。
相關清單可通過以下連結查閱：The NITE Chemical Risk Information Platform (NITE-CHRIP) database。該資料庫可用於單獨搜索化學物質的 GHS 分類，並可在 ""Chemical Hazard and Risk Information"" 下的 ""GHS Classification Results by the Japanese Government"" 部分中勾選所有選項以檢索完整的 CASRNs 清單。
此法規在日本地區具有強制性要求，相關清單可通過以下連結查閱：http://www.nite.go.jp/en/chem/chrip/chrip_search/srhInput。該物質的危害分類屬於生殖細胞致突變性危害第 2 級：H341。"
"N,N-Dimethylformamide",,1,6228,68-12-2,慢毒性危害,致突變性,中,PubChem資料庫 聯合國GHS,相對低,危害等級分類清楚。,,,,https://ftp.ncbi.nlm.nih.gov/pubchem/Compound/Extras/,translation missing: zh-TW.hazard_annotation.H341,,,,"N,N-二甲基甲醯胺（N,N-Dimethylformamide），CAS 編號為 68-12-2，風險等級為 1，PubChem CID 為 6228。
該物質屬於慢毒性危害，主要的危害為致突變性，危害等級為中。根據 PubChem 資料庫和聯合國 GHS 的資料來源，可信度相對較低，但危害等級分類清楚。
此物質的適用地區和適用產業未明確記載，且是否具強制性要求也未明確說明。
相關清單可通過以下連結查閱：PubChem 資料庫，該清單包含相關的化學物質資訊。此物質的危害分類屬於 H341（可能引起遺傳性基因突變）。
額外註解與預測值未提供。"
