化學物名稱,中文名稱,風險等級,PubChem CID,CAS No.,危害組別,危害名稱,危害等級,資料來源,可信度,危害分類是否清楚,適用地區,適用產業,是否具強制性？,清單連結,註解,額外註解,預測值
Tetrabromobisphenol A (TBBPA),,1,6618,79-94-7,慢毒性危害,致癌性,高,國際癌症研究機構清單,相對高,危害等級分類清楚。,全球,所有,N,"Lists provided at the link below reference the relevant IARC monograph volume or supplement. Substances may be listed by CAS number, name or collectively as a substance group.
http://monographs.iarc.fr/ENG/Classification/index.php",第1類：已知人類致癌物 或 第2a類：極可能為人體致癌物,"",
Tetrabromobisphenol A (TBBPA),,1,6618,79-94-7,慢毒性危害,致癌性,高,美國加州第65號提案,相對高,危害等級分類清楚。,加利福尼亞州 美國,所有,Y,"Prop 65 descriptive information is at the first link below. The second link provides the current list of substances.
http://oehha.ca.gov/proposition-65/about-proposition-65
http://oehha.ca.gov/proposition-65/proposition-65-list",致癌性,"",
Tetrabromobisphenol A (TBBPA),,1,6618,79-94-7,慢毒性危害,致癌性,高,日本GHS,相對低,危害等級分類清楚。,日本,所有,Y,"The NITE Chemical Risk Information Platform (NITE-CHRIP) database can be used to search for GHS Classifications for chemicals individually. To retrieve a full list of CASRNs, ""check all the boxes"" in the ""GHS Classification Results by the Japanese Government"" section, which is a subsection under ""Chemical Hazard and Risk Information"".
http://www.nite.go.jp/en/chem/chrip/chrip_search/srhInput",致癌性危害第1A或1B級：H350或H350i (吸入性),"",
Tetrabromobisphenol A (TBBPA),,1,6618,79-94-7,慢毒性危害,致癌性,高,南韓GHS,相對低,危害等級分類清楚。,韓國,所有,Y,"The Korean National Chemicals Information System (NCiS) can be used to search for GHS Classifications for chemicals. GreenScreen List Translator only includes chemicals in 5 broad search categories: Phase-in substances subject to registration, Toxic Substances, Restricted Substances, Prohibited Substances, and Substances requiring preparation for accidents. Search each category, as a chemical may be on one list and not another.
http://ncis.nier.go.kr/en/main.do",致癌性危害第1A或1B級：H350或H350i (吸入性),"",
Tetrabromobisphenol A (TBBPA),,1,6618,79-94-7,慢毒性危害,致癌性,高,PubChem資料庫 聯合國GHS,相對低,危害等級分類清楚。,,,,https://ftp.ncbi.nlm.nih.gov/pubchem/Compound/Extras/,translation missing: zh-TW.hazard_annotation.H350,"",
Tetrabromobisphenol A (TBBPA),,1,6618,79-94-7,慢毒性危害,致癌性,中,PubChem資料庫 聯合國GHS,相對低,危害等級分類清楚。,,,,https://ftp.ncbi.nlm.nih.gov/pubchem/Compound/Extras/,致癌性危害第2級：H351,"",
Tetrabromobisphenol A (TBBPA),,1,6618,79-94-7,慢毒性危害,致癌性,"",translation missing: zh-TW.list_name.US OSHA - TRI Carcinogens,相對低,危害等級分類清楚。,美國,所有,Y,https://www.epa.gov/system/files/documents/2023-01/Toxics%20Release%20Inventory%20Basis%20of%20OSHA%20Carcinogens.pdf,"","",Toxics Release Inventory (TRI) Program
Tetrabromobisphenol A (TBBPA),,1,6618,79-94-7,慢毒性危害,致癌性,"",translation missing: zh-TW.list_name.Classification model: ToxTree,相對低,包含多種危害終點，危害等級分類模糊。,NA,所有,N,,"",輕度毒性,Negative for genotoxic carcinogenicity:YES; Negative for nongenotoxic carcinogenicity:YES; Potential S. typhimurium TA100 mutagen based on QSAR:NO; Potential carcinogen based on QSAR:NO
Tetrabromobisphenol A (TBBPA),,1,6618,79-94-7,慢毒性危害,致突變性,低,美國環保署CompTox資料庫,相對高,包含多種危害終點，危害等級分類模糊。,,,,https://www.epa.gov/chemical-research/comptox-chemicals-dashboard,translation missing: zh-TW.hazard_annotation.US EPA CompTox,低毒性,
Tetrabromobisphenol A (TBBPA),,1,6618,79-94-7,慢毒性危害,致突變性,高,QSAR模型 支持向量機 Polynomial核心,相對低,危害等級分類清楚。,,,,,translation missing: zh-TW.hazard_annotation.to_prec_che_wFG_mw1300_svm_poly.csv,高度/中度毒性,
