化學物名稱,中文名稱,風險等級,PubChem CID,CAS No.,危害組別,危害名稱,危害等級,資料來源,可信度,危害分類是否清楚,適用地區,適用產業,是否具強制性？,清單連結,註解,額外註解,預測值,Summary,Generated_Text
Tetrabromobisphenol A (TBBPA),,1,6618,79-94-7,慢毒性危害,致癌性,高,國際癌症研究機構清單,相對高,危害等級分類清楚。,全球,所有,N,"Lists provided at the link below reference the relevant IARC monograph volume or supplement. Substances may be listed by CAS number, name or collectively as a substance group.
http://monographs.iarc.fr/ENG/Classification/index.php",第1類：已知人類致癌物 或 第2a類：極可能為人體致癌物,,,,"四溴雙酚 A（Tetrabromobisphenol A, TBBPA），CAS 編號為 79-94-7，風險等級為 1，PubChem CID 為 6618。
該物質屬於慢毒性危害，主要的危害為致癌性，危害等級為高。根據國際癌症研究機構（IARC）清單，該資料來源的可信度相對較高，且危害等級分類清楚。
此物質的危害適用於全球所有地區與產業。
根據 IARC 分類，四溴雙酚 A 被歸類為第 1 類（已知人類致癌物）或第 2A 類（極可能為人體致癌物）。相關清單可通過以下連結查閱：IARC 分類清單，清單中會列出相關 IARC 專題研究的卷冊或補充資料，物質可按 CAS 編號、名稱或作為物質群體列出。此清單不具強制性。

相關清單可通過以下連結查閱：[IARC 分類清單](http://monographs.iarc.fr/ENG/Classification/index.php)。"
Tetrabromobisphenol A (TBBPA),,1,6618,79-94-7,慢毒性危害,致癌性,高,美國加州第65號提案,相對高,危害等級分類清楚。,加利福尼亞州 美國,所有,Y,"Prop 65 descriptive information is at the first link below. The second link provides the current list of substances.
http://oehha.ca.gov/proposition-65/about-proposition-65
http://oehha.ca.gov/proposition-65/proposition-65-list",致癌性,,,,"Tetrabromobisphenol A (TBBPA)，CAS 編號為 79-94-7，風險等級為 1，PubChem CID 為 6618。
該物質屬於慢毒性危害，主要的危害為致癌性，危害等級為高。根據美國加州第65號提案的資料來源，可信度相對較高，且危害等級分類清楚。
此危害適用於加利福尼亞州，美國，並影響所有產業。
該物質在加州第65號提案中列出，該清單包含致癌性物質，且相關 CAS 編號記載於提案中，並會隨著法規修訂進行更新。
該法規在加利福尼亞州具有強制性要求，相關清單可通過以下連結查閱：Proposition 65 描述性資訊，以及 Proposition 65 當前物質清單。此物質的危害分類屬於致癌性。

Prop 65 descriptive information is at the first link below. The second link provides the current list of substances.
http://oehha.ca.gov/proposition-65/about-proposition-65
http://oehha.ca.gov/proposition-65/proposition-65-list"
Tetrabromobisphenol A (TBBPA),,1,6618,79-94-7,慢毒性危害,致癌性,高,日本GHS,相對低,危害等級分類清楚。,日本,所有,Y,"The NITE Chemical Risk Information Platform (NITE-CHRIP) database can be used to search for GHS Classifications for chemicals individually. To retrieve a full list of CASRNs, ""check all the boxes"" in the ""GHS Classification Results by the Japanese Government"" section, which is a subsection under ""Chemical Hazard and Risk Information"".
http://www.nite.go.jp/en/chem/chrip/chrip_search/srhInput",致癌性危害第1A或1B級：H350或H350i (吸入性),,,,"Tetrabromobisphenol A (TBBPA)，CAS 編號為 79-94-7，風險等級為 1，PubChem CID 為 6618。
該物質屬於慢毒性危害，主要的危害為致癌性，危害等級為高。根據日本 GHS 的資料來源，可信度相對較低，但危害等級分類清楚。
此危害適用於日本地區，並影響所有產業。
根據日本 GHS 的分類，TBBPA 被歸類為第 1A 或 1B 級的致癌性危害，並對應 H350 或 H350i（吸入性）。
相關的日本 GHS 調和分類的最新清單，可通過以下連結查閱：The NITE Chemical Risk Information Platform (NITE-CHRIP) database。該資料庫可用於單獨搜索化學物質的 GHS 分類，並可在 ""GHS Classification Results by the Japanese Government"" 部分中勾選所有選項以檢索完整的 CASRNs 清單。
該法規在日本地區具有強制性要求，相關清單可通過以下連結查閱：http://www.nite.go.jp/en/chem/chrip/chrip_search/srhInput。此物質的危害分類屬於第 1A 或 1B 級。"
Tetrabromobisphenol A (TBBPA),,1,6618,79-94-7,慢毒性危害,致癌性,高,南韓GHS,相對低,危害等級分類清楚。,韓國,所有,Y,"The Korean National Chemicals Information System (NCiS) can be used to search for GHS Classifications for chemicals. GreenScreen List Translator only includes chemicals in 5 broad search categories: Phase-in substances subject to registration, Toxic Substances, Restricted Substances, Prohibited Substances, and Substances requiring preparation for accidents. Search each category, as a chemical may be on one list and not another.
http://ncis.nier.go.kr/en/main.do",致癌性危害第1A或1B級：H350或H350i (吸入性),,,,"Tetrabromobisphenol A (TBBPA)，CAS 編號為 79-94-7，風險等級為 1，PubChem CID 為 6618。
該物質屬於慢毒性危害，主要的危害為致癌性，危害等級為高。根據南韓 GHS 的資料來源，可信度相對較低，但危害等級分類清楚。
此危害適用於韓國地區，影響所有產業。
根據南韓 GHS 的分類，TBBPA 被歸類為第 1A 或 1B 級的致癌性危害，並對應 H350 或 H350i（吸入性）。
相關的南韓 GHS 調和分類的最新清單，可通過以下連結查閱：The Korean National Chemicals Information System (NCiS)。GreenScreen List Translator 僅包含五大類別的化學物質：需註冊的過渡性物質、有毒物質、受限制物質、禁止物質，以及需準備應對事故的物質。每個類別都需單獨搜索，因為某些化學物質可能僅在其中一個清單中出現。
該法規在韓國地區具有強制性要求，相關清單可通過以下連結查閱：http://ncis.nier.go.kr/en/main.do。此物質的危害分類屬於第 1A 或 1B 級。"
Tetrabromobisphenol A (TBBPA),,1,6618,79-94-7,慢毒性危害,致癌性,高,PubChem資料庫 聯合國GHS,相對低,危害等級分類清楚。,,,,https://ftp.ncbi.nlm.nih.gov/pubchem/Compound/Extras/,translation missing: zh-TW.hazard_annotation.H350,,,,"四溴雙酚A（Tetrabromobisphenol A, TBBPA），CAS 編號為 79-94-7，風險等級為 1，PubChem CID 為 6618。

該物質屬於慢毒性危害，主要的危害為致癌性，危害等級為高。根據 PubChem 資料庫和聯合國 GHS 的資料來源，該資料來源的可信度相對較低，但危害等級分類清楚。

目前沒有明確的適用地區和適用產業資訊，且是否具強制性要求也未明確。

相關清單可通過以下連結查閱：PubChem 資料庫。該清單包含相關的 CAS 編號和其他詳細資訊。此物質的危害分類屬於 H350（致癌性）。

此物質的其他註解和額外註解目前未提供。"
Tetrabromobisphenol A (TBBPA),,1,6618,79-94-7,慢毒性危害,致癌性,中,PubChem資料庫 聯合國GHS,相對低,危害等級分類清楚。,,,,https://ftp.ncbi.nlm.nih.gov/pubchem/Compound/Extras/,致癌性危害第2級：H351,,,,"Tetrabromobisphenol A (TBBPA)，CAS 編號為 79-94-7，風險等級為 1，PubChem CID 為 6618。

該物質屬於慢毒性危害，主要的危害為致癌性，危害等級為中。根據 PubChem 資料庫和聯合國 GHS 的資料來源，可信度相對較低，但危害等級分類清楚。

此物質的危害分類屬於第 2 級致癌性危害，對應 H351。相關清單可通過以下連結查閱：PubChem 資料庫。該清單包含相關的致癌性危害資訊，並提供額外的資料下載功能。

目前沒有明確指出此物質適用的地區或產業，且是否具強制性要求也未明確註明。"
Tetrabromobisphenol A (TBBPA),,1,6618,79-94-7,慢毒性危害,致癌性,,translation missing: zh-TW.list_name.US OSHA - TRI Carcinogens,相對低,危害等級分類清楚。,美國,所有,Y,https://www.epa.gov/system/files/documents/2023-01/Toxics%20Release%20Inventory%20Basis%20of%20OSHA%20Carcinogens.pdf,,,Toxics Release Inventory (TRI) Program,,"Tetrabromobisphenol A (TBBPA)，CAS 編號為 79-94-7，風險等級為 1，PubChem CID 為 6618。
該物質屬於慢毒性危害，主要的危害為致癌性，危害等級未明確標示。根據美國職業安全與健康管理局（US OSHA）毒性釋放清單（TRI Carcinogens），該資料來源的可信度相對較低，但危害等級分類清楚。
此危害適用於美國地區，並影響所有產業。
該物質在美國 OSHA 的毒性釋放清單中列出，該清單包含致癌性物質，且相關 CAS 編號記載於美國環保署（EPA）的毒性釋放清單中。該法規在美國地區具有強制性要求，相關清單可通過以下連結查閱：[Toxics Release Inventory (TRI) Program](https://www.epa.gov/system/files/documents/2023-01/Toxics%20Release%20Inventory%20Basis%20of%20OSHA%20Carcinogens.pdf)。
此物質的危害分類屬於清楚明確的範疇。"
Tetrabromobisphenol A (TBBPA),,1,6618,79-94-7,慢毒性危害,致癌性,,translation missing: zh-TW.list_name.Classification model: ToxTree,相對低,包含多種危害終點，危害等級分類模糊。,,所有,N,,,輕度毒性,Negative for genotoxic carcinogenicity:YES; Negative for nongenotoxic carcinogenicity:YES; Potential S. typhimurium TA100 mutagen based on QSAR:NO; Potential carcinogen based on QSAR:NO,,"四溴雙酚A（Tetrabromobisphenol A, TBBPA），CAS 編號為 79-94-7，風險等級為 1，PubChem CID 為 6618。
該物質屬於慢毒性危害，主要的危害為致癌性，危害等級未明確標示。根據 ToxTree 分類模型的資料來源，可信度相對較低，且危害等級分類模糊。
此危害適用於所有地區與產業。
該物質的危害分類包含多種危害終點，且分類不明確。根據 QSAR 模型的預測，四溴雙酚A對基因毒性致癌性呈陰性，對非基因毒性致癌性也呈陰性，且對 S. typhimurium TA100 突變的潛在性為陰性，總體來說，根據 QSAR 模型預測其致癌性潛力為陰性。
此物質不具強制性要求，相關清單連結未提供。"
Tetrabromobisphenol A (TBBPA),,1,6618,79-94-7,慢毒性危害,致突變性,低,美國環保署CompTox資料庫,相對高,包含多種危害終點，危害等級分類模糊。,,,,https://www.epa.gov/chemical-research/comptox-chemicals-dashboard,translation missing: zh-TW.hazard_annotation.US EPA CompTox,低毒性,,,"Tetrabromobisphenol A (TBBPA)，CAS 編號為 79-94-7，風險等級為 1，PubChem CID 為 6618。
該物質屬於慢毒性危害，主要的危害為致突變性，危害等級為低。根據美國環保署CompTox資料庫，該資料來源的可信度相對較高，但包含多種危害終點，危害等級分類模糊。
此物質的危害適用地區與產業未明確記載。
相關清單可通過以下連結查閱：美國環保署CompTox化學物質儀表板。該資料來源註解為 ""translation missing: zh-TW.hazard_annotation.US EPA CompTox""，並且該物質被標註為低毒性。
此清單不具強制性要求。"
Tetrabromobisphenol A (TBBPA),,1,6618,79-94-7,慢毒性危害,致突變性,高,QSAR模型 支持向量機 Polynomial核心,相對低,危害等級分類清楚。,,,,,translation missing: zh-TW.hazard_annotation.to_prec_che_wFG_mw1300_svm_poly.csv,高度/中度毒性,,,"Tetrabromobisphenol A (TBBPA)，CAS 編號為 79-94-7，風險等級為 1，PubChem CID 為 6618。
該物質屬於慢毒性危害，主要的危害為致突變性，危害等級為高。根據 QSAR 模型支持向量機 Polynomial 核心的資料來源，可信度相對較低，且危害等級分類清楚。
此物質的危害適用地區與產業未明確記載，且是否具強制性要求也未明確說明。
相關清單與資料可通過以下連結查閱：translation missing: zh-TW.hazard_annotation.to_prec_che_wFG_mw1300_svm_poly.csv。該物質被註解為高度/中度毒性。"
