名稱,CAS no.,工業用途,安全性,註解
Acetone,67-64-1,特殊工業用,可替換但需留意部分危害; Yellow [Triangle],
Hexanedioic acid,124-04-9,加工助劑-添加物,安全; Green [Circle],
Benzoic Acid,65-85-0,防腐劑-抗氧化劑,安全; Green [Circle],
Citric Acid,77-92-9,抗微生物活性,安全; Green [Circle],
"Butanedioic acid, hydroxy-",6915-15-7,加工助劑-添加物,安全; Green [Circle],
"Propanoic acid, 2-hydroxy-",50-21-5,防腐劑-抗氧化劑,安全; Green [Circle],
"Inks containing 30% acrylic acid, 30% hydroxy-propanoic acid CAS# 79-33-4, 25% bronze powder (copper CAS # 7440-50-8 and tin CAS #7440-31-5, 10% ethanol CAS # 64-17-5 and 4% white spirit.  ",64-17-5,抗微生物活性,安全; Green [Circle],
1-Octanol,111-87-5,芳香劑,安全但仍須更多資料強化; Half Green [Circle],
Hexadecanoic acid,57-10-3,介面活性劑,安全; Green [Circle],
Phosphoric Acid,7664-38-2,只允許用於氧化劑之穩定劑,可替換但需留意部分危害; Yellow [Triangle],
Sulfuric Acid,7664-93-9,加工助劑-添加物,可替換但需留意部分危害; Yellow [Triangle],"*Yellow, due in part to IARC designation for strong inorganic acid mists. Not allowed in mist form. Meets criteria for Simple Acids and Bases sub-group."
Menthol,89-78-1,芳香劑,可替換但需留意部分危害; Yellow [Triangle],已知致敏物
Decanoic acid,334-48-5,加工助劑-添加物,安全; Green [Circle],
"Phosphonic acid, (1-hydroxyethylidene)bis-",2809-21-4,只允許用於氧化劑之穩定劑,可替換但需留意部分危害; Yellow [Triangle],
Isopropyl alcohol ,67-63-0,抗微生物活性,安全; Green [Circle],
Lauric acid ,143-07-7,介面活性劑,安全; Green [Circle],
Sodium Chloride,7647-14-5,加工助劑-添加物,安全; Green [Circle],
Stearic Acid,57-11-4,介面活性劑,安全; Green [Circle],
Benzeneethanol,60-12-8,防腐劑-抗氧化劑,可替換但需留意部分危害; Yellow [Triangle],
"3,7-Dimethyloctan-3-ol",78-69-3,芳香劑,可替換但需留意部分危害; Yellow [Triangle],已知致敏物
"linalool; 3,7-dimethyl-1,6-octadien-3-ol; dl-linalool [1]coriandrol; (S)-3,7-dimethyl-1,6-octadien-3-ol; d-linalool [2]licareol; (R)-3,7-dimethyl-1,6-octadien-3-ol; l-linalool [3]",78-70-6,芳香劑,可替換但需留意部分危害; Yellow [Triangle],已知致敏物
"2-Pyrrolidinone, 1-ethenyl-",9003-39-8,聚合物,安全; Green [Circle],
"1,3-Dioxolane-4-methanol, 2,2-dimethyl-",100-79-8,溶劑,安全; Green [Circle],
"2(3H)-Furanone, 5-heptyldihydro-",104-67-6,芳香劑,安全但仍須更多資料強化; Half Green [Circle],
"1-Octanol, dimethyl-",106-21-8,芳香劑,可替換但需留意部分危害; Yellow [Triangle],重複劑量毒性
"Butanedioic acid, dimethyl ester",106-65-0,溶劑,安全; Green [Circle],
Hydroxycitronellal ,107-75-5,芳香劑,可替換但需留意部分危害; Yellow [Triangle],已知致敏物;重複劑量毒性
1-Methoxy-2-propanol ,107-98-2,溶劑,安全; Green [Circle],
propyl acetate [1]isopropyl acetate  [2],108-21-4,溶劑,安全; Green [Circle],
"Tetradecanoic acid, 1-methylethyl ester",110-27-0,溶劑,安全但仍須更多資料強化; Half Green [Circle],
"Tetracosane, 2,6,10,15,19,23-hexamethyl-",111-01-3,軟化劑;潤滑劑,安全; Green [Circle],
"Dodecanoic acid, methyl ester",111-82-0,軟化劑;潤滑劑,安全; Green [Circle],
Diethylene glycol monobutyl ether ,112-34-5,溶劑,可替換但需留意部分危害; Yellow [Triangle],"*Yellow, due in part to its status as a Hazardous Air Pollutant HAP under the Clean Air Act. *Yellow due to hazard concerns, but allowed to provide functionality while meeting Safer Choice VOC criteria. See section 4.2.7.1 of the Safer Choice Standard."
1-Octadecanol,112-92-5,軟化劑;潤滑劑,安全; Green [Circle],
"1,6-Octadien-3-ol, 3,7-dimethyl-, acetate",115-95-7,芳香劑,可替換但需留意部分危害; Yellow [Triangle],已知致敏物
"Benzoic acid, 2-hydroxy-, phenylmethyl ester",118-58-1,芳香劑,可替換但需留意部分危害; Yellow [Triangle],已知致敏物;重複劑量毒性
"Benzaldehyde, 3-ethoxy-4-hydroxy-",121-32-4,芳香劑,安全但仍須更多資料強化; Half Green [Circle],
