名稱,CAS no.,工業用途,安全性,註解
Butenedioic acid,26099-09-2,聚合物,安全; Green [Circle],
Butenedioic acid,26099-09-2,聚合物,安全; Green [Circle],
"2-Pyrrolidinone, 1-ethenyl-",9003-39-8,聚合物,安全; Green [Circle],
"2-Pyrrolidinone, 1-ethenyl-",9003-39-8,聚合物,安全; Green [Circle],
Hexylene glycol ,107-41-5,溶劑,安全; Green [Circle],
Polyvinyl Alcohol,9002-89-5,聚合物,安全; Green [Circle],
Polyvinyl Alcohol,9002-89-5,聚合物,安全; Green [Circle],
"Lignosulfonic acid, calcium salt",8061-52-7,聚合物,安全; Green [Circle],
"Lignosulfonic acid, calcium salt",8061-52-7,聚合物,安全; Green [Circle],
"2,5-Furandione, polymer with 2,4,4-trimethylpentene, sodium salt",37199-81-8,聚合物,安全; Green [Circle],
"2,5-Furandione, polymer with 2,4,4-trimethylpentene, sodium salt",37199-81-8,聚合物,安全; Green [Circle],
"2-Propenoic acid, polymer with ethene",9010-77-9,聚合物,安全; Green [Circle],
"2-Propenoic acid, polymer with ethene",9010-77-9,聚合物,安全; Green [Circle],
Glycereth-3,31694-55-0,聚合物,安全; Green [Circle],
Glycereth-3,31694-55-0,聚合物,安全; Green [Circle],
"2-Propenoic acid, 2-methyl-, polymer with ethyl 2-propenoate",25212-88-8,聚合物,安全; Green [Circle],
"2-Propenoic acid, 2-methyl-, polymer with ethyl 2-propenoate",25212-88-8,聚合物,安全; Green [Circle],
"Butene, homopolymer",9003-29-6,聚合物,安全; Green [Circle],
"Butene, homopolymer",9003-29-6,聚合物,安全; Green [Circle],
53637-25-5,53637-25-5,聚合物,安全但仍須更多資料強化; Half Green [Circle],
53637-25-5,53637-25-5,聚合物,安全但仍須更多資料強化; Half Green [Circle],
Acrylic acid maleic acid copolymer,29132-58-9,聚合物,安全; Green [Circle],
Acrylic acid maleic acid copolymer,29132-58-9,聚合物,安全; Green [Circle],
70142-34-6,70142-34-6,聚合物,安全; Green [Circle],
70142-34-6,70142-34-6,聚合物,安全; Green [Circle],
"Lignosulfonic acid, sodium salt",8061-51-6,聚合物,安全; Green [Circle],
"Lignosulfonic acid, sodium salt",8061-51-6,聚合物,安全; Green [Circle],
Water,7732-18-5,溶劑,安全; Green [Circle],
Polypropylene,9003-07-0,聚合物,安全; Green [Circle],
Polypropylene,9003-07-0,聚合物,安全; Green [Circle],
71832-81-0,71832-81-0,聚合物,安全; Green [Circle],
71832-81-0,71832-81-0,聚合物,安全; Green [Circle],
"2-Propenoic acid, polymer with 2,5-furandione, sodium salt",52255-49-9,聚合物,安全; Green [Circle],
"2-Propenoic acid, polymer with 2,5-furandione, sodium salt",52255-49-9,聚合物,安全; Green [Circle],
